Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Willis Wright,Florida International,Sun Belt,12,25,633,25.3,5,,,,,25,633,25.3,5,willis-wright-1
2,Jamal Robinson,Louisiana,Sun Belt,12,25,627,25.1,3,,,,,25,627,25.1,3,jamal-robinson-3
3,Tavarres King,Georgia,SEC,14,42,950,22.6,9,1,0,0,0,43,950,22.1,9,tavarres-king-1
4,Robert Herron,Wyoming,MWC,8,31,657,21.2,8,4,10,2.5,0,35,667,19.1,8,robert-herron-1
5,Devin Smith,Ohio State,Big Ten,12,30,618,20.6,6,1,2,2,0,31,620,20,6,devin-smith-2
6,Titus Davis,Central Michigan,MAC,12,43,860,20,8,3,6,2,0,46,866,18.8,8,titus-davis-1
7,Blake Jackson,Oklahoma State,Big 12,13,30,598,19.9,3,,,,,30,598,19.9,3,blake-jackson-1
8,A.J. Barker,Minnesota,Big Ten,8,30,577,19.2,7,,,,,30,577,19.2,7,aj-barker-1
9,Jordan Leslie,UTEP,CUSA,12,51,973,19.1,6,1,-4,-4,0,52,969,18.6,6,jordan-leslie-1
10,Corey Fuller,Virginia Tech,ACC,13,43,815,19,6,1,10,10,0,44,825,18.8,6,corey-fuller-2
11,Terrance Williams,Baylor,Big 12,13,97,1832,18.9,12,2,14,7,0,99,1846,18.6,12,terrance-williams-2
12,Marcus Davis,Virginia Tech,ACC,13,51,953,18.7,5,5,72,14.4,0,56,1025,18.3,5,marcus-davis-1
13,Roy Roundtree,Michigan,Big Ten,13,31,580,18.7,3,,,,,31,580,18.7,3,roy-roundtree-1
14,Uzoma Nwachukwu,Texas A&M,SEC,13,26,485,18.7,7,,,,,26,485,18.7,7,uzoma-nwachukwu-1
15,Devante Parker,Louisville,Big East,13,40,744,18.6,10,,,,,40,744,18.6,10,devante-parker-1
16,Tevin Reese,Baylor,Big 12,13,53,957,18.1,9,4,21,5.3,0,57,978,17.2,9,tevin-reese-1
17,Rannell Hall,UCF,CUSA,14,35,631,18,4,1,3,3,0,36,634,17.6,4,rannell-hall-1
18,Clive Walford,Miami (FL),ACC,12,25,451,18,4,,,,,25,451,18,4,clive-walford-1
19,Brelan Chancellor,North Texas,Sun Belt,8,25,450,18,5,16,155,9.7,2,41,605,14.8,7,brelan-chancellor-1
20,L'Damian Washington,Missouri,SEC,12,25,443,17.7,2,,,,,25,443,17.7,2,ldamian-washington-1
21,Marlon Brown,Georgia,SEC,8,27,469,17.4,4,,,,,27,469,17.4,4,marlon-brown-1
22,Kenny Bell,Nebraska,Big Ten,14,50,863,17.3,8,2,8,4,0,52,871,16.8,8,kenny-bell-2
23,Brandin Cooks,Oregon State,Pac-12,13,67,1151,17.2,5,19,82,4.3,0,86,1233,14.3,5,brandin-cooks-1
24,Deandre Hopkins,Clemson,ACC,13,82,1405,17.1,18,,,,,82,1405,17.1,18,deandre-hopkins-1
25,Alonzo Russell,Toledo,MAC,13,56,960,17.1,5,,,,,56,960,17.1,5,alonzo-russell-1
26,Jared Abbrederis,Wisconsin,Big Ten,13,49,837,17.1,5,8,83,10.4,0,57,920,16.1,5,jared-abbrederis-1
27,Marcus Leak,Maryland,ACC,7,23,393,17.1,2,1,1,1,0,24,394,16.4,2,marcus-leak-1
28,Jacob Younger,Florida International,Sun Belt,10,23,392,17,3,,,,,23,392,17,3,jacob-younger-1
29,Amari Cooper,Alabama,SEC,14,59,1000,16.9,11,,,,,59,1000,16.9,11,amari-cooper-1
30,Jeremy Gallon,Michigan,Big Ten,13,49,829,16.9,4,11,67,6.1,0,60,896,14.9,4,jeremy-gallon-1
31,Cordarrelle Patterson,Tennessee,SEC,12,46,778,16.9,5,25,308,12.3,3,71,1086,15.3,8,cordarrelle-patterson-1
32,Thomas Roberson,Tulsa,CUSA,14,29,489,16.9,4,,,,,29,489,16.9,4,thomas-roberson-1
33,Austin Hill,Arizona,Pac-12,13,81,1364,16.8,11,,,,,81,1364,16.8,11,austin-hill-1
34,Austin Franklin,New Mexico State,WAC,12,74,1245,16.8,9,10,39,3.9,0,84,1284,15.3,9,austin-franklin-1
35,Brandon Coleman,Rutgers,Big East,13,43,718,16.7,10,,,,,43,718,16.7,10,brandon-coleman-2
36,Darryl Surgent,Louisiana,Sun Belt,13,34,569,16.7,3,3,-2,-0.7,0,37,567,15.3,3,darryl-surgent-1
37,Ryan Griffin,Connecticut,Big East,12,29,484,16.7,6,,,,,29,484,16.7,6,ryan-griffin-1
38,Odell Beckham Jr.,LSU,SEC,13,43,713,16.6,2,,,,,43,713,16.6,2,odell-beckham-jr-1
39,Mike Davis,Texas,Big 12,13,57,939,16.5,7,,,,,57,939,16.5,7,mike-davis-2
40,Rashad Ross,Arizona State,Pac-12,13,37,610,16.5,6,1,3,3,0,38,613,16.1,6,rashad-ross-1
41,Kelvin Benjamin,Florida State,ACC,14,30,495,16.5,4,2,33,16.5,0,32,528,16.5,4,kelvin-benjamin-1
42,Isaiah Battle,Texas State,WAC,8,26,428,16.5,3,11,68,6.2,0,37,496,13.4,3,isaiah-battle-1
43,Brandon Carter,TCU,Big 12,12,36,590,16.4,6,4,10,2.5,0,40,600,15,6,brandon-carter-3
44,Jace Amaro,Texas Tech,Big 12,7,25,409,16.4,4,,,,,25,409,16.4,4,jace-amaro-1
45,Chip Reeves,Troy,Sun Belt,12,65,1050,16.2,6,1,7,7,0,66,1057,16,6,chip-reeves-1
46,Mike Edwards,UTEP,CUSA,11,51,820,16.1,8,6,45,7.5,0,57,865,15.2,8,mike-edwards-4
47,Dom Williams,Washington State,Pac-12,11,34,546,16.1,3,,,,,34,546,16.1,3,dom-williams-1
48,Dominique Williams,Washington State,Pac-12,11,34,546,16.1,3,,,,,34,546,16.1,3,dominique-williams-3
49,Kenny Shaw,Florida State,ACC,14,33,532,16.1,3,,,,,33,532,16.1,3,kenny-shaw-1
50,Travis Kelce,Cincinnati,Big East,13,45,722,16,8,,,,,45,722,16,8,travis-kelce-1
51,Shaun Joplin,Bowling Green State,MAC,13,40,639,16,4,1,5,5,0,41,644,15.7,4,shaun-joplin-1
52,Noel Grigsby,San Jose State,WAC,13,82,1307,15.9,9,1,4,4,0,83,1311,15.8,9,noel-grigsby-1
53,Mike Shanahan,Pitt,Big East,13,62,983,15.9,6,,,,,62,983,15.9,6,mike-shanahan-1
54,Chad Bumphis,Mississippi State,SEC,13,58,922,15.9,12,3,0,0,0,61,922,15.1,12,chad-bumphis-1
55,Kenbrell Thompkins,Cincinnati,Big East,13,34,541,15.9,2,,,,,34,541,15.9,2,kenbrell-thompkins-1
56,Anthony McClung,Cincinnati,Big East,12,34,539,15.9,2,3,7,2.3,0,37,546,14.8,2,anthony-mcclung-1
57,Kevin Norwood,Alabama,SEC,13,29,461,15.9,4,,,,,29,461,15.9,4,kevin-norwood-1
58,Cody Latimer,Indiana,Big Ten,12,51,805,15.8,6,,,,,51,805,15.8,6,cody-latimer-1
59,Emory Blake,Auburn,SEC,12,50,789,15.8,3,,,,,50,789,15.8,3,emory-blake-1
60,Ryan Otten,San Jose State,WAC,13,47,742,15.8,4,,,,,47,742,15.8,4,ryan-otten-1
61,Andrell Smith,Louisville,Big East,13,34,536,15.8,3,,,,,34,536,15.8,3,andrell-smith-1
62,Davaris Daniels,Notre Dame,Ind,11,31,490,15.8,0,,,,,31,490,15.8,0,davaris-daniels-1
63,Stefon Diggs,Maryland,ACC,11,54,848,15.7,6,20,114,5.7,0,74,962,13,6,stefon-diggs-1
64,Colt Lyerla,Oregon,Pac-12,13,25,392,15.7,6,13,77,5.9,1,38,469,12.3,7,colt-lyerla-1
65,Alex Neutz,Buffalo,MAC,11,65,1015,15.6,11,,,,,65,1015,15.6,11,alex-neutz-1
66,Marquess Wilson,Washington State,Pac-12,9,52,813,15.6,5,,,,,52,813,15.6,5,marquess-wilson-1
67,Quintin Payton,North Carolina State,ACC,13,51,798,15.6,2,,,,,51,798,15.6,2,quintin-payton-1
68,Tyler Lockett,Kansas State,Big 12,13,44,687,15.6,4,7,55,7.9,0,51,742,14.5,4,tyler-lockett-1
69,Eric Ebron,North Carolina,ACC,11,40,625,15.6,4,,,,,40,625,15.6,4,eric-ebron-1
70,Mychal Rivera,Tennessee,SEC,12,36,562,15.6,5,,,,,36,562,15.6,5,mychal-rivera-1
71,Taylor Stockemer,Arkansas State,Sun Belt,10,31,483,15.6,3,,,,,31,483,15.6,3,taylor-stockemer-1
72,Nick Kasa,Colorado,Pac-12,12,25,391,15.6,3,,,,,25,391,15.6,3,nick-kasa-1
73,Alex Amidon,Boston College,ACC,12,78,1210,15.5,7,4,55,13.8,1,82,1265,15.4,8,alex-amidon-1
74,William Dukes,Florida Atlantic,Sun Belt,12,63,979,15.5,4,1,-1,-1,0,64,978,15.3,4,william-dukes-1
75,Chris Boyd,Vanderbilt,SEC,13,50,774,15.5,5,,,,,50,774,15.5,5,chris-boyd-1
76,Kerwynn Williams,Utah State,WAC,13,45,697,15.5,5,218,1512,6.9,15,263,2209,8.4,20,kerwynn-williams-1
77,Charlie Moore,Oklahoma State,Big 12,13,35,542,15.5,6,,,,,35,542,15.5,6,charlie-moore-1
78,Jackie Williams,UAB,CUSA,12,52,799,15.4,1,,,,,52,799,15.4,1,jackie-williams-1
79,Javone Lawson,Louisiana,Sun Belt,11,40,616,15.4,5,,,,,40,616,15.4,5,javone-lawson-1
80,Josh Huff,Oregon,Pac-12,11,32,493,15.4,7,,,,,32,493,15.4,7,josh-huff-1
81,Justyn Shackelford,Tulane,CUSA,9,28,431,15.4,2,,,,,28,431,15.4,2,justyn-shackelford-1
82,Corey Besteda,South Alabama,Sun Belt,12,28,430,15.4,2,,,,,28,430,15.4,2,corey-besteda-1
83,Blake Hammond,Western Michigan,MAC,11,25,386,15.4,4,,,,,25,386,15.4,4,blake-hammond-1
84,Eric Monette,Western Michigan,MAC,9,41,629,15.3,5,1,1,1,0,42,630,15,5,eric-monette-1
85,Zach Rogers,Tennessee,SEC,12,32,491,15.3,7,,,,,32,491,15.3,7,zach-rogers-1
86,Matt Austin,Utah State,WAC,13,48,729,15.2,5,,,,,48,729,15.2,5,matt-austin-2
87,Ryan Grant,Tulane,CUSA,12,76,1149,15.1,6,,,,,76,1149,15.1,6,ryan-grant-2
88,Tyler Futrell,Ohio,MAC,12,28,422,15.1,2,1,-10,-10,0,29,412,14.2,2,tyler-futrell-1
89,Patrick Hearn,UAB,CUSA,10,42,628,15,3,,,,,42,628,15,3,patrick-hearn-1
90,Bruce Ellington,South Carolina,SEC,13,40,600,15,7,5,28,5.6,0,45,628,14,7,bruce-ellington-1
91,Kale Pick,Kansas,Big 12,11,26,390,15,0,2,5,2.5,0,28,395,14.1,0,kale-pick-1
92,Alec Lemon,Syracuse,Big East,12,72,1070,14.9,7,4,13,3.3,1,76,1083,14.3,8,alec-lemon-1
93,Dawan Scott,Miami (OH),MAC,11,57,851,14.9,7,15,80,5.3,1,72,931,12.9,8,dawan-scott-1
94,Isaiah Burse,Fresno State,MWC,13,57,851,14.9,6,7,39,5.6,1,64,890,13.9,7,isaiah-burse-1
