Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Xavier Ubosi,UAB,CUSA,13,35,837,23.9,8,0,0,,0,35,837,23.9,8,xavier-ubosi-1
2,Emanuel Hall,Missouri,SEC,8,37,828,22.4,6,0,0,,0,37,828,22.4,6,emanuel-hall-1
3,Hakeem Butler,Iowa State,Big 12,13,60,1318,22,9,0,0,,0,60,1318,22,9,hakeem-butler-1
4,D.K. Metcalf,Ole Miss,SEC,7,26,569,21.9,5,0,0,,0,26,569,21.9,5,dk-metcalf-1
5,Justyn Ross,Clemson,ACC,14,46,1000,21.7,9,0,0,,0,46,1000,21.7,9,justyn-ross-1
6,Tamorrion Terry,Florida State,ACC,12,35,744,21.3,8,0,0,,0,35,744,21.3,8,tamorrion-terry-1
7,Josh Palmer,Tennessee,SEC,12,23,484,21,2,5,27,5.4,1,28,511,18.3,3,josh-palmer-1
8,Darnell Mooney,Tulane,American,13,48,993,20.7,8,1,6,6,0,49,999,20.4,8,darnell-mooney-1
9,Randall St. Felix,South Florida,American,10,33,679,20.6,4,0,0,,0,33,679,20.6,4,randall-st-felix-1
10,Jon'Vea Johnson,Toledo,MAC,13,32,660,20.6,9,0,0,,0,32,660,20.6,9,jonvea-johnson-1
11,Tre Turner,Virginia Tech,ACC,12,26,535,20.6,4,8,101,12.6,1,34,636,18.7,5,tre-turner-2
12,Seth Williams,Auburn,SEC,10,26,534,20.5,5,0,0,,0,26,534,20.5,5,seth-williams-1
13,D'Wayne Eskridge,Western Michigan,MAC,11,38,776,20.4,3,0,0,,0,38,776,20.4,3,dwayne-eskridge-1
14,Austin Maloney,Florida International,CUSA,11,30,610,20.3,5,0,0,,0,30,610,20.3,5,austin-maloney-1
15,Terry McLaurin,Ohio State,Big Ten,12,35,701,20,11,0,0,,0,35,701,20,11,terry-mclaurin-1
16,Marcus Bennett,Air Force,MWC,10,24,465,19.4,3,0,2,,0,24,467,19.5,3,marcus-bennett-1
17,Jerry Jeudy,Alabama,SEC,15,68,1315,19.3,14,0,0,,0,68,1315,19.3,14,jerry-jeudy-1
18,Darius Slayton,Auburn,SEC,11,35,670,19.1,5,0,0,,0,35,670,19.1,5,darius-slayton-1
19,Jaylen Waddle,Alabama,SEC,15,45,848,18.8,7,0,0,,0,45,848,18.8,7,jaylen-waddle-1
20,Joe Reed,Virginia,ACC,13,25,465,18.6,7,3,15,5,0,28,480,17.1,7,joe-reed-4
21,Michael Pittman Jr.,USC,Pac-12,10,41,758,18.5,6,1,9,9,0,42,767,18.3,6,michael-pittman-jr-1
22,Jaylen Dixon,Utah,Pac-12,11,32,589,18.4,2,1,-3,-3,0,33,586,17.8,2,jaylen-dixon-1
23,Tre Walker,San Jose State,MWC,9,39,714,18.3,5,1,0,0,0,40,714,17.9,5,tre-walker-3
24,Rashad Medaris,Cincinnati,American,10,26,472,18.2,3,0,0,,0,26,472,18.2,3,rashad-medaris-1
25,Shawn Poindexter,Arizona,Pac-12,12,42,759,18.1,11,0,0,,0,42,759,18.1,11,shawn-poindexter-1
26,Tony Ellison,Arizona,Pac-12,10,29,525,18.1,6,1,-7,-7,0,30,518,17.3,6,tony-ellison-1
