Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Jalen Robinette,Air Force,MWC,12,35,959,27.4,6,0,0,,0,35,959,27.4,6,jalen-robinette-1
2,Jester Weah,Pitt,ACC,13,36,870,24.2,10,0,0,,0,36,870,24.2,10,jester-weah-1
3,Jaylen Smith,Louisville,ACC,12,27,599,22.2,6,0,0,,0,27,599,22.2,6,jaylen-smith-1
4,Shelton Gibson,West Virginia,Big 12,13,43,951,22.1,8,2,29,14.5,0,45,980,21.8,8,shelton-gibson-1
5,Olabisi Johnson,Colorado State,MWC,11,28,613,21.9,4,1,13,13,0,29,626,21.6,4,olabisi-johnson-1
6,Jeff Badet,Kentucky,SEC,13,31,670,21.6,4,1,25,25,0,32,695,21.7,4,jeff-badet-1
7,Micah Holder,San Diego State,MWC,10,27,581,21.5,5,0,0,,0,27,581,21.5,5,micah-holder-1
8,Cedric Wilson,Boise State,MWC,12,56,1129,20.2,11,3,7,2.3,0,59,1136,19.3,11,cedric-wilson-3
9,Cody Thompson,Toledo,MAC,13,64,1269,19.8,11,0,0,,0,64,1269,19.8,11,cody-thompson-1
10,Dieuly Aristilde,Eastern Michigan,MAC,5,25,492,19.7,2,0,0,,0,25,492,19.7,2,dieuly-aristilde-1
11,James Washington,Oklahoma State,Big 12,13,71,1380,19.4,10,4,28,7,0,75,1408,18.8,10,james-washington-5
12,Josh Malone,Tennessee,SEC,13,50,972,19.4,11,0,0,,0,50,972,19.4,11,josh-malone-1
13,Deangelo Yancey,Purdue,Big Ten,12,49,951,19.4,10,0,0,,0,49,951,19.4,10,deangelo-yancey-1
14,Stephen Louis,North Carolina State,ACC,12,35,678,19.4,2,1,3,3,0,36,681,18.9,2,stephen-louis-1
15,Jon'Vea Johnson,Toledo,MAC,12,40,773,19.3,10,0,0,,0,40,773,19.3,10,jonvea-johnson-1
16,Jalen Williams,Massachusetts,Ind,10,27,520,19.3,6,0,0,,0,27,520,19.3,6,jalen-williams-3
17,Rokeem Williams,Miami (OH),MAC,10,26,501,19.3,3,0,0,,0,26,501,19.3,3,rokeem-williams-1
18,Blake Mack,Arkansas State,Sun Belt,11,34,652,19.2,3,0,0,,0,34,652,19.2,3,blake-mack-1
19,Dede Westbrook,Oklahoma,Big 12,13,80,1524,19.1,17,10,101,10.1,0,90,1625,18.1,17,dede-westbrook-1
20,Ahmmon Richards,Miami (FL),ACC,13,49,934,19.1,3,2,8,4,0,51,942,18.5,3,ahmmon-richards-1
21,Deon Cain,Clemson,ACC,15,38,724,19.1,9,0,0,,0,38,724,19.1,9,deon-cain-1
22,Josh Stewart,UTSA,CUSA,11,36,682,18.9,5,0,0,,0,36,682,18.9,5,josh-stewart-2
23,RJ Turner,Louisiana-Monroe,Sun Belt,9,23,433,18.8,3,0,0,,0,23,433,18.8,3,rj-turner-1
24,Carlos Henderson,Louisiana Tech,CUSA,13,82,1535,18.7,19,14,133,9.5,2,96,1668,17.4,21,carlos-henderson-1
25,Allen Staggers,Southern Mississippi,CUSA,13,63,1165,18.5,7,3,39,13,0,66,1204,18.2,7,allen-staggers-1
26,Chico McClatcher,Washington,Pac-12,12,31,574,18.5,5,18,131,7.3,1,49,705,14.4,6,chico-mcclatcher-1
27,Kevin Stepherson,Notre Dame,Ind,10,25,462,18.5,5,0,0,,0,25,462,18.5,5,kevin-stepherson-1
28,Tanner Gentry,Wyoming,MWC,14,72,1326,18.4,14,6,30,5,0,78,1356,17.4,14,tanner-gentry-1
29,Nick Westbrook,Indiana,Big Ten,12,54,995,18.4,6,1,3,3,1,55,998,18.1,7,nick-westbrook-1
30,Jimmy Williams,East Carolina,American,12,45,818,18.2,8,0,0,,0,45,818,18.2,8,jimmy-williams-9
31,Johnathon Johnson,Missouri,SEC,12,24,435,18.1,2,4,114,28.5,0,28,549,19.6,2,johnathon-johnson-2
32,Taj Williams,TCU,Big 12,12,39,702,18,5,0,0,,0,39,702,18,5,taj-williams-1
33,Shun Brown,Arizona,Pac-12,12,29,521,18,3,2,62,31,0,31,583,18.8,3,shun-brown-1
34,D.J. Chark,LSU,SEC,11,26,466,17.9,3,12,122,10.2,2,38,588,15.5,5,dj-chark-1
35,Jordan Frysinger,Idaho,Sun Belt,8,26,465,17.9,3,0,0,,0,26,465,17.9,3,jordan-frysinger-1
36,Taywan Taylor,Western Kentucky,CUSA,14,98,1730,17.7,17,6,36,6,0,104,1766,17,17,taywan-taylor-1
37,Kevin Kutchera,South Alabama,Sun Belt,11,30,532,17.7,1,0,0,,0,30,532,17.7,1,kevin-kutchera-1
38,Adonis Jennings,Temple,American,11,27,474,17.6,4,7,81,11.6,0,34,555,16.3,4,adonis-jennings-1
39,Nicholas Norris,Western Kentucky,CUSA,14,76,1318,17.3,14,13,222,17.1,1,89,1540,17.3,15,nicholas-norris-1
40,Donald Gray,Mississippi State,SEC,12,41,709,17.3,5,0,0,,0,41,709,17.3,5,donald-gray-1
41,Trey Hartley,San Jose State,MWC,9,33,572,17.3,4,1,18,18,0,34,590,17.4,4,trey-hartley-1
42,Raelon Singleton,Utah,Pac-12,12,27,464,17.2,4,0,0,,0,27,464,17.2,4,raelon-singleton-1
43,James Quick,Louisville,ACC,12,45,769,17.1,6,0,0,,0,45,769,17.1,6,james-quick-1
44,Michael Clark,Marshall,CUSA,11,37,632,17.1,5,0,0,,0,37,632,17.1,5,michael-clark-1
45,Jamari Staples,Louisville,ACC,11,36,615,17.1,2,0,0,,0,36,615,17.1,2,jamari-staples-1
46,Kelvin Harmon,North Carolina State,ACC,10,27,462,17.1,5,0,0,,0,27,462,17.1,5,kelvin-harmon-1
47,Ricky Jeune,Georgia Tech,ACC,11,25,427,17.1,1,1,40,40,0,26,467,18,1,ricky-jeune-1
48,Josh Reynolds,Texas A&M,SEC,13,61,1039,17,12,0,0,,0,61,1039,17,12,josh-reynolds-1
49,Deon Watson,Idaho,Sun Belt,12,41,695,17,3,0,0,,0,41,695,17,3,deon-watson-1
50,Xavier Brown,Louisiana-Monroe,Sun Belt,11,25,425,17,4,0,0,,0,25,425,17,4,xavier-brown-2
51,Keon Hatcher,Arkansas,SEC,12,44,743,16.9,8,4,7,1.8,0,48,750,15.6,8,keon-hatcher-1
52,Dondre Daley,Iowa State,Big 12,11,24,406,16.9,3,0,0,,0,24,406,16.9,3,dondre-daley-1
53,Jonathan Giles,Texas Tech,Big 12,11,69,1158,16.8,13,0,0,,0,69,1158,16.8,13,jonathan-giles-1
54,Josh Magee,South Alabama,Sun Belt,11,49,822,16.8,5,0,0,,0,49,822,16.8,5,josh-magee-1
55,Michael Gallup,Colorado State,MWC,13,76,1272,16.7,14,4,15,3.8,0,80,1287,16.1,14,michael-gallup-1
56,James Gardner,Miami (OH),MAC,11,45,750,16.7,6,0,0,,0,45,750,16.7,6,james-gardner-1
57,Chris Godwin,Penn State,Big Ten,13,59,982,16.6,11,1,13,13,0,60,995,16.6,11,chris-godwin-1
58,Equanimeous St. Brown,Notre Dame,Ind,12,58,961,16.6,9,0,0,,0,58,961,16.6,9,equanimeous-st-brown-1
