Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Trea Shropshire,UAB,CUSA,12,27,703,26,7,0,0,,0,27,703,26,7,trea-shropshire-1
2,Tyrese Chambers,Florida International,CUSA,12,45,1074,23.9,9,0,0,,0,45,1074,23.9,9,tyrese-chambers-1
3,Marvin Mims,Oklahoma,Big 12,13,32,705,22,5,1,15,15,0,33,720,21.8,5,marvin-mims-1
4,Dontayvion Wicks,Virginia,ACC,12,57,1203,21.1,9,0,0,,0,57,1203,21.1,9,dontayvion-wicks-1
5,Isaiah Neyor,Wyoming,MWC,13,44,878,20,12,12,23,1.9,1,56,901,16.1,13,isaiah-neyor-1
6,Jameson Williams,Alabama,SEC,15,79,1572,19.9,15,3,23,7.7,0,82,1595,19.5,15,jameson-williams-1
7,Trevon Clark,California,Pac-12,10,33,658,19.9,4,0,0,,0,33,658,19.9,4,trevon-clark-1
8,Nick Mardner,Hawaii,MWC,13,46,913,19.8,5,0,0,,0,46,913,19.8,5,nick-mardner-1
9,Antoine Green,North Carolina,ACC,13,31,612,19.7,5,0,0,,0,31,612,19.7,5,antoine-green-1
10,Jacob Cowing,UTEP,CUSA,13,69,1354,19.6,7,4,75,18.8,1,73,1429,19.6,8,jacob-cowing-1
11,Bub Means,Louisiana Tech,CUSA,10,24,470,19.6,2,1,-8,-8,0,25,462,18.5,2,bub-means-1
12,Samori Toure,Nebraska,Big Ten,12,46,898,19.5,5,8,63,7.9,1,54,961,17.8,6,samori-toure-1
13,Willie Johnson,Marshall,CUSA,13,32,625,19.5,3,3,26,8.7,0,35,651,18.6,3,willie-johnson-5
14,Gerrit Prince,UAB,CUSA,13,36,699,19.4,10,1,0,0,0,37,699,18.9,10,gerrit-prince-1
15,Quentin Johnston,TCU,Big 12,8,33,634,19.2,6,2,12,6,0,35,646,18.5,6,quentin-johnston-1
16,Jalen Nailor,Michigan State,Big Ten,9,37,695,18.8,6,1,-3,-3,0,38,692,18.2,6,jalen-nailor-1
17,Zane Pope,Fresno State,MWC,11,25,471,18.8,4,1,3,3,0,26,474,18.2,4,zane-pope-1
18,Puka Nacua,Brigham Young,Ind,12,43,805,18.7,6,14,148,10.6,0,57,953,16.7,6,puka-nacua-1
19,Jack Sorenson,Miami (OH),MAC,13,76,1406,18.5,10,0,0,,0,76,1406,18.5,10,jack-sorenson-1
20,Kevin Austin,Notre Dame,Ind,12,48,888,18.5,7,1,8,8,0,49,896,18.3,7,kevin-austin-2
21,Bryce Singleton,Florida International,CUSA,11,46,847,18.4,3,0,0,,0,46,847,18.4,3,bryce-singleton-1
22,Kevin Shaa,Liberty,Ind,11,28,516,18.4,6,0,0,,0,28,516,18.4,6,kevin-shaa-1
23,A.T. Perry,Wake Forest,ACC,14,71,1293,18.2,15,0,0,,0,71,1293,18.2,15,at-perry-1
24,Dontay Demus,Maryland,Big Ten,5,28,507,18.1,3,0,0,,0,28,507,18.1,3,dontay-demus-1
