Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Devin Smith,Ohio State,Big Ten,14,33,931,28.2,12,0,0,,0,33,931,28.2,12,devin-smith-2
2,Phillip Dorsett,Miami (FL),ACC,12,36,871,24.2,10,2,-6,-3,0,38,865,22.8,10,phillip-dorsett-1
3,Chris Moore,Cincinnati,American,11,30,673,22.4,8,0,0,,0,30,673,22.4,8,chris-moore-4
4,Sammie Coates,Auburn,SEC,12,34,741,21.8,4,0,0,,0,34,741,21.8,4,sammie-coates-1
5,Ian Hamilton,UTEP,CUSA,12,27,579,21.4,2,0,0,,0,27,579,21.4,2,ian-hamilton-1
6,Breshad Perriman,UCF,American,13,50,1044,20.9,9,1,0,0,0,51,1044,20.5,9,breshad-perriman-1
7,Travin Dural,LSU,SEC,13,37,758,20.5,7,10,111,11.1,0,47,869,18.5,7,travin-dural-1
8,Deandre Smelter,Georgia Tech,ACC,10,35,715,20.4,7,3,103,34.3,1,38,818,21.5,8,deandre-smelter-1
9,Glenn Coleman,Florida International,CUSA,11,23,468,20.3,3,2,4,2,0,25,472,18.9,3,glenn-coleman-1
10,Devante Parker,Louisville,ACC,6,43,855,19.9,5,0,0,,0,43,855,19.9,5,devante-parker-1
11,Leonte Carroo,Rutgers,Big Ten,13,55,1086,19.7,10,0,0,,0,55,1086,19.7,10,leonte-carroo-1
12,Carlos Henderson,Louisiana Tech,CUSA,12,29,569,19.6,4,13,72,5.5,0,42,641,15.3,4,carlos-henderson-1
13,Rokeem Williams,Miami (OH),MAC,10,35,682,19.5,3,5,4,0.8,0,40,686,17.2,3,rokeem-williams-1
14,Mario Hull,Rice,CUSA,11,32,621,19.4,8,0,0,,0,32,621,19.4,8,mario-hull-1
15,Thomas Duarte,UCLA,Pac-12,10,28,540,19.3,4,0,0,,0,28,540,19.3,4,thomas-duarte-1
16,Darius Jennings,Virginia,ACC,12,27,521,19.3,2,24,115,4.8,1,51,636,12.5,3,darius-jennings-1
17,Sterling Shepard,Oklahoma,Big 12,11,51,970,19,5,8,41,5.1,0,59,1011,17.1,5,sterling-shepard-1
18,Darren Carrington,Oregon,Pac-12,10,37,704,19,4,0,0,,0,37,704,19,4,darren-carrington-1
19,Devin Lauderdale,Texas Tech,Big 12,10,31,589,19,7,0,0,,0,31,589,19,7,devin-lauderdale-1
20,Keith Mumphery,Michigan State,Big Ten,12,26,495,19,3,6,85,14.2,1,32,580,18.1,4,keith-mumphery-1
21,Brandon Sheperd,Oklahoma State,Big 12,13,39,737,18.9,5,4,69,17.3,0,43,806,18.7,5,brandon-sheperd-1
22,Jalen Robinette,Air Force,MWC,13,43,806,18.7,4,0,0,,0,43,806,18.7,4,jalen-robinette-1
23,J.J. Nelson,UAB,CUSA,12,35,655,18.7,4,5,45,9,0,40,700,17.5,4,jamarcus-nelson-1
24,Cam Worthy,East Carolina,American,11,55,1016,18.5,4,0,0,,0,55,1016,18.5,4,cam-worthy-1
25,Tony Lippett,Michigan State,Big Ten,13,65,1198,18.4,11,2,51,25.5,1,67,1249,18.6,12,tony-lippett-1
26,Kolby Listenbee,TCU,Big 12,13,41,753,18.4,4,2,19,9.5,0,43,772,18,4,kolby-listenbee-1
27,Chris Conley,Georgia,SEC,13,36,657,18.3,8,0,0,,0,36,657,18.3,8,chris-conley-1
28,Rashard Higgins,Colorado State,MWC,12,96,1750,18.2,17,0,0,,0,96,1750,18.2,17,rashard-higgins-1
29,Corey Davis,Western Michigan,MAC,12,78,1408,18.1,15,0,0,,0,78,1408,18.1,15,corey-davis-3
30,Mike Williams,Clemson,ACC,12,57,1030,18.1,6,0,0,,0,57,1030,18.1,6,mike-williams-17
31,Javess Blue,Kentucky,SEC,11,29,525,18.1,5,0,0,,0,29,525,18.1,5,javess-blue-1
32,Nigel King,Kansas,Big 12,11,30,537,17.9,1,0,0,,0,30,537,17.9,1,nigel-king-1
