Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
338,MarQueis Gray,MIA,TE,27,16,7,0,0,0,0,0,0,0,,0,17,14,174,12.43,0,0,0,0,,,17,31.4,34.4,24.4,,60,,GrayMa00
339,Kevin Hogan,CLE,QB,24,4,0,14,26,104,0,2,8,105,13.13,1,0,0,0,,0,0,0,1,,,17,16.7,21.7,18.7,,47,,HogaKe00
340,Vincent Jackson,TAM,WR,33,5,5,0,0,0,0,0,0,0,,0,32,15,173,11.53,0,0,0,0,,,17,32.3,35.3,24.8,,135,,JackVi00
341,Denard Robinson,JAX,RB,26,13,1,0,0,0,0,0,41,144,3.51,0,5,3,22,7.33,0,0,0,0,,,17,19.6,22.6,18.1,,98,,RobiDe00
342,Brandon Tate,BUF,WR,29,15,1,0,0,0,0,0,3,48,16,0,12,8,117,14.63,0,0,0,0,,,17,24.5,27.5,20.5,,136,,TateBr00
343,Matt Cassel,TEN,QB,34,4,1,30,51,284,2,2,4,3,0.75,0,0,0,0,,0,1,0,0,,,16,15.7,17.7,17.7,,49,,CassMa00
344,Brent Celek,PHI,TE,31,16,8,0,0,0,0,0,0,0,,0,19,14,155,11.07,0,1,0,0,,,16,29.5,32.5,22.5,,61,,CeleBr00
345,Josh Ferguson,IND,RB,23,16,0,0,0,0,0,0,15,20,1.33,0,26,20,136,6.8,0,1,0,0,,,16,35.6,38.6,25.6,,100,,FergJo02
346,Chris Johnson,ARI,RB,31,4,0,0,0,0,0,0,25,95,3.8,1,1,0,0,,0,0,0,1,,,16,15.5,15.5,15.5,,101,,JohnCh04
347,Braxton Miller,HOU,WR,24,10,6,0,0,0,0,0,3,0,0,0,28,15,99,6.6,1,0,0,1,,,16,30.9,30.9,23.4,,137,,MillBr03
348,Terron Ward,ATL,RB,24,5,0,0,0,0,0,0,31,151,4.87,0,2,1,11,11,0,0,0,0,,,16,17.2,20.2,16.7,,99,,WardTe00
349,Stephen Anderson,HOU,TE,23,13,0,0,0,0,0,0,0,0,,0,16,11,93,8.45,1,0,0,1,,,15,26.3,26.3,20.8,,62,,AndeSt01
350,Tyler Higbee,LAR,TE,23,16,7,0,0,0,0,0,0,0,,0,29,11,85,7.73,1,0,0,1,,,15,25.5,25.5,20,,63,,HigbTy00
351,Greg Salas,BUF,WR,28,2,1,0,0,0,0,0,0,0,,0,6,4,89,22.25,1,0,0,1,,,15,18.9,18.9,16.9,,139,,SalaGr00
352,Cecil Shorts,TAM,WR,29,9,5,0,0,0,0,0,0,0,,0,27,11,152,13.82,0,0,0,0,,,15,26.2,29.2,20.7,,138,,ShorCe00
353,Mack Brown,WAS,RB,25,9,0,0,0,0,0,0,8,82,10.25,1,1,1,-2,-2,0,0,0,1,,,14,15,15,14.5,,102,,BrowMa02
354,A.J. Derby,2TM,TE,25,10,3,0,0,0,0,0,0,0,,0,20,16,160,10,0,1,1,0,,,14,30,34,22,,65,,DerbA.00
355,Jeff Heuerman,DEN,TE,24,12,2,0,0,0,0,0,0,0,,0,17,9,141,15.67,0,0,0,0,,,14,23.1,26.1,18.6,,64,,HeueJe00
356,Akeem Hunt,HOU,RB,23,8,0,0,0,0,0,0,20,109,5.45,0,4,3,29,9.67,0,2,0,0,,,14,16.8,19.8,15.3,,103,,HuntAk01
357,Andy Janovich,DEN,RB,23,11,5,0,0,0,0,0,4,33,8.25,1,7,5,44,8.8,0,0,0,1,,,14,18.7,18.7,16.2,,104,,JanoAn00
358,Brandon Myers,TAM,TE,31,16,9,0,0,0,0,0,0,0,,0,14,7,59,8.43,1,0,0,1,1,,14,20.9,20.9,17.4,,66,,MyerBr00
359,Walt Powell,BUF,WR,25,9,2,0,0,0,0,0,0,0,,0,25,14,142,10.14,0,0,0,0,,,14,28.2,31.2,21.2,,140,,PoweWa00
360,Larry Donnell,NYG,TE,28,14,6,0,0,0,0,0,0,0,,0,22,15,92,6.13,1,1,1,1,,,13,28.2,29.2,20.7,,67,,DonnLa00
361,Arian Foster,MIA,RB,30,4,2,0,0,0,0,0,22,55,2.5,0,10,6,78,13,0,1,0,0,,,13,19.3,19.3,16.3,,106,,FostAr00
362,Crockett Gillmore,BAL,TE,25,7,5,0,0,0,0,0,0,0,,0,14,8,71,8.88,1,0,0,1,,,13,21.1,21.1,17.1,,69,,GillCr00
363,Chris Harper,SFO,WR,23,9,2,0,0,0,0,0,0,0,,0,21,13,133,10.23,0,0,0,0,,,13,26.3,29.3,19.8,,141,,HarpCh01
364,Chris Moore,BAL,WR,23,15,0,0,0,0,0,0,3,19,6.33,0,16,7,46,6.57,0,1,0,1,,,13,19.5,19.5,16,,146,,MoorCh00
365,Nick O'Leary,BUF,RB,24,16,7,0,0,0,0,0,0,0,,0,14,9,114,12.67,0,0,0,0,1,,13,22.4,25.4,17.9,,105,,OLeaNi00
366,John Phillips,2TM,TE,29,16,7,0,0,0,0,0,0,0,,0,15,10,72,7.2,1,0,0,1,,,13,23.2,23.2,18.2,,68,,PhilJo00
367,C.J. Spiller,2TM,RB,29,6,0,0,0,0,0,0,6,18,3,0,13,6,50,8.33,1,1,0,1,,,13,18.8,18.8,15.8,,107,,SpilC.00
368,Jaelen Strong,HOU,WR,22,8,2,0,0,0,0,0,0,0,,0,24,14,131,9.36,0,0,0,0,,,13,27.1,30.1,20.1,,142,,StroJa01
369,Paul Turner,PHI,WR,23,4,2,0,0,0,0,0,0,0,,0,14,9,126,14,0,0,0,0,,,13,21.6,24.6,17.1,,145,,TurnPa01
370,Markus Wheaton,PIT,WR,25,3,2,0,0,0,0,0,0,0,,0,9,4,51,12.75,1,0,0,1,1,,13,17.1,17.1,15.1,,143,,WheaMa00
371,Jarius Wright,MIN,WR,27,8,1,0,0,0,0,0,0,0,,0,14,11,67,6.09,1,0,0,1,,,13,23.7,23.7,18.2,,144,,WrigJa02
372,Jordan Cameron,MIA,TE,28,3,3,0,0,0,0,0,0,0,,0,11,8,60,7.5,1,0,0,1,,,12,20,20,16,,71,,CameJo00
373,Mike Davis,SFO,RB,23,8,1,0,0,0,0,0,19,50,2.63,1,5,3,25,8.33,0,1,1,1,,,12,14.5,15.5,13,,110,,DaviMi01
374,Rhett Ellison,MIN,RB,28,15,6,0,0,0,0,0,1,1,1,1,14,9,57,6.33,0,0,0,1,,,12,20.8,20.8,16.3,,109,,ElliRh00
375,Brittan Golden,ARI,WR,28,12,1,0,0,0,0,0,0,0,,0,14,8,82,10.25,1,1,1,1,,,12,20.2,21.2,16.2,,147,,GoldBr00
376,Dominique Jones,MIA,TE,29,9,2,0,0,0,0,0,0,0,,0,10,7,61,8.71,1,0,0,1,,,12,19.1,19.1,15.6,,70,,JoneDo01
377,Jordan Todman,IND,RB,26,16,0,0,0,0,0,0,9,59,6.56,0,1,0,0,,0,0,0,1,,,12,11.9,11.9,11.9,,108,,TodmJo00
378,Jamaal Charles,KAN,RB,30,3,0,0,0,0,0,0,12,40,3.33,1,3,2,14,7,0,0,0,1,,,11,13.4,13.4,12.4,,111,,CharJa00
379,Patrick DiMarco,ATL,RB,27,16,8,0,0,0,0,0,0,0,,0,10,7,52,7.43,1,0,0,1,,,11,18.2,18.2,14.7,,113,,DiMaPa00
380,Neal Sterling,JAX,WR,24,10,1,0,0,0,0,0,0,0,,0,16,12,110,9.17,0,0,0,0,,,11,23,26,17,,148,,SterNe00
381,Lucky Whitehead,DAL,WR,24,15,1,0,0,0,0,0,10,82,8.2,0,3,3,48,16,0,3,1,0,,,11,14,15,12.5,,149,,WhitLu00
382,Jonathan Williams,BUF,RB,22,11,0,0,1,0,0,0,27,94,3.48,1,2,1,0,0,0,2,2,1,,,11,12.4,14.4,11.9,,112,,WillJo07
383,Demarcus Ayers,PIT,WR,22,2,1,0,0,0,0,0,2,-12,-6,0,13,6,53,8.83,1,0,0,1,,,10,16.1,16.1,13.1,,150,,AyerDe00
384,Alan Cross,TAM,TE,23,14,0,0,0,0,0,0,0,0,,0,10,6,38,6.33,1,0,0,1,,,10,15.8,15.8,12.8,,74,,CrosAl00
385,Shaun Hill,MIN,QB,36,3,1,19,35,242,0,0,5,5,1,0,0,0,0,,0,0,0,0,,,10,10.2,10.2,10.2,,50,,HillSh00
386,David Johnson,PIT,TE,29,16,5,0,0,0,0,0,0,0,,0,11,7,80,11.43,0,0,0,0,1,,10,17,17,13.5,,73,,JohnDa05
387,Darren McFadden,DAL,RB,29,3,1,0,0,0,0,0,24,87,3.63,0,5,3,17,5.67,0,0,0,0,,,10,13.4,13.4,11.9,,114,,McFaDa00
388,Joshua Perkins,ATL,TE,23,8,1,0,0,0,0,0,0,0,,0,5,3,42,14,1,0,0,1,,,10,13.2,13.2,11.7,,72,,PerkJo02
389,Antone Smith,TAM,RB,31,3,0,0,0,0,0,0,10,47,4.7,0,9,6,77,12.83,0,2,1,0,,,10,16.4,17.4,13.4,,115,,SmitAn01
390,James Wright,CIN,WR,25,13,2,0,0,0,0,0,2,-6,-3,0,19,13,106,8.15,0,0,0,0,,,10,23,26,16.5,,151,,WrigJa03
391,George Atkinson,CLE,RB,24,16,0,0,0,0,0,0,7,34,4.86,1,0,0,0,,0,1,0,1,,,9,9.4,9.4,9.4,,116,,AtkiGe01
392,Blake Bell,SFO,TE,25,13,0,0,0,0,0,0,0,0,,0,9,4,85,21.25,0,0,0,0,,,9,12.5,12.5,10.5,,77,,BellBl00
393,Leonte Carroo,MIA,WR,22,14,2,0,0,0,0,0,0,0,,0,6,3,29,9.67,1,0,0,1,,,9,11.9,11.9,10.4,,153,,CarrLe00
394,Pharoh Cooper,LAR,WR,21,10,3,0,1,0,0,1,0,0,,0,20,14,106,7.57,0,0,0,0,,,9,22.6,26.6,16.6,,156,,CoopPh00
395,Gavin Escobar,DAL,TE,25,16,1,0,0,0,0,0,0,0,,0,7,4,30,7.5,1,0,0,1,,,9,13,13,11,,76,,EscoGa00
396,Mike Glennon,TAM,QB,27,2,0,10,11,75,1,0,0,0,,0,0,0,0,,0,0,0,0,,1,9,9,9,9,,53,,GlenMi00
397,T.J. Jones,DET,WR,24,3,0,0,0,0,0,0,0,0,,0,14,5,93,18.6,0,0,0,0,,,9,14.3,14.3,11.8,,152,,JoneT.00
398,Tyler Kroft,CIN,TE,24,14,11,0,0,0,0,0,0,0,,0,12,10,92,9.2,0,0,0,0,,,9,19.2,19.2,14.2,,75,,KrofTy00
399,Tommylee Lewis,NOR,WR,24,12,1,0,0,0,0,0,3,11,3.67,0,11,7,76,10.86,0,2,0,0,,,9,15.7,15.7,12.2,,154,,LewiTo00
400,Marcel Reece,SEA,RB,31,4,0,0,0,0,0,0,2,0,0,0,5,5,73,14.6,0,0,0,0,1,,9,14.3,14.3,11.8,,117,,ReecMa00
401,Drew Stanton,ARI,QB,32,5,1,19,48,192,2,3,3,-3,-1,0,0,0,0,,0,0,0,0,,,9,9.4,12.4,12.4,,51,,StanDr00
402,Juwan Thompson,DEN,RB,24,8,1,0,0,0,0,0,8,26,3.25,1,1,0,0,,0,0,0,1,,,9,8.6,8.6,8.6,,122,,ThomJu01
403,Fitzgerald Toussaint,PIT,RB,26,16,0,0,0,0,0,0,14,58,4.14,0,3,3,33,11,0,0,0,0,,,9,12.1,12.1,10.6,,119,,TousFi00
404,Bryce Treggs,PHI,WR,22,9,1,0,0,0,0,0,2,7,3.5,0,12,3,80,26.67,0,0,0,0,,,9,11.7,11.7,10.2,,155,,TregBr00
405,Terrell Watson,PHI,RB,23,1,0,0,0,0,0,0,9,28,3.11,1,1,1,5,5,0,0,0,1,,,9,10.3,10.3,9.8,,118,,WatsTe00
406,Derek Watt,SDG,RB,24,16,2,0,0,0,0,0,2,4,2,0,4,4,83,20.75,0,0,0,0,,,9,12.7,12.7,10.7,,120,,WattDe00
407,Charlie Whitehurst,CLE,QB,34,1,0,14,24,182,1,1,2,1,0.5,0,0,0,0,,0,0,0,0,,,9,9.4,10.4,10.4,,52,,WhitCh02
408,Andre Williams,SDG,RB,24,1,0,0,0,0,0,0,18,87,4.83,0,2,0,0,,0,0,0,0,,,9,8.7,8.7,8.7,,121,,WillAn00
409,Trevone Boykin,SEA,QB,23,5,0,13,18,145,1,1,8,1,0.13,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,55,,BoykTr00
410,Ryan Grant,WAS,WR,26,16,1,0,0,0,0,0,0,0,,0,19,9,76,8.44,0,0,0,0,,,8,16.6,16.6,12.1,,158,,GranRy01
411,Connor Hamlett,CLE,TE,24,3,2,0,0,0,0,0,0,0,,0,1,1,17,17,1,0,0,1,,,8,8.7,8.7,8.2,,79,,HamlCo01
412,Rashard Higgins,CLE,WR,22,16,0,0,0,0,0,0,0,0,,0,12,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,157,,HiggRa00
413,Cody Latimer,DEN,WR,24,12,1,0,0,0,0,0,0,0,,0,15,8,76,9.5,0,0,0,0,,,8,15.6,15.6,11.6,,159,,LatiCo00
414,Matt Lengel,NWE,TE,26,6,0,0,0,0,0,0,0,0,,0,3,2,22,11,1,0,0,1,,,8,10.2,10.2,9.2,,78,,LengMa00
415,Geno Smith,NYJ,QB,26,2,1,8,14,126,1,1,2,9,4.5,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,54,,SmitGe00
416,Wendall Williams,HOU,WR,26,3,0,0,0,0,0,0,0,0,,0,7,4,75,18.75,0,0,0,0,,,8,11.5,11.5,9.5,,160,,WillWe00
417,Malcolm Brown,LAR,RB,23,16,0,0,0,0,0,0,18,39,2.17,0,3,3,46,15.33,0,1,1,0,,,7,9.5,10.5,8,,125,,BrowMa03
418,Aaron Burbridge,SFO,WR,23,16,3,0,0,0,0,0,0,0,,0,16,7,88,12.57,0,1,1,0,,,7,13.8,14.8,10.3,,164,,BurbAa00
419,Michael Campanaro,BAL,WR,25,3,0,0,0,0,0,0,3,72,24,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,161,,CampMi02
420,Josh Doctson,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,6,2,66,33,0,0,0,0,,,7,8.6,8.6,7.6,,165,,DoctJo00
421,Alex Erickson,CIN,WR,24,16,0,0,0,0,0,0,0,0,,0,8,6,71,11.83,0,3,0,0,,,7,13.1,13.1,10.1,,162,,EricAl01
422,Jerome Felton,BUF,RB,30,15,4,0,0,0,0,0,8,13,1.63,0,9,6,57,9.5,0,0,0,0,,,7,13,13,10,,124,,FeltJe00
423,Maurice Harris,WAS,WR,24,10,0,0,0,0,0,0,0,0,,0,12,8,66,8.25,0,1,0,0,,,7,14.6,14.6,10.6,,166,,HarrMa05
424,EJ Manuel,BUF,QB,26,6,1,11,26,131,0,0,8,22,2.75,0,0,0,0,,0,2,1,0,,1,7,7.4,8.4,7.4,,56,,ManuEJ00
425,Byron Marshall,PHI,RB,22,3,0,0,0,0,0,0,19,64,3.37,0,5,3,10,3.33,0,0,0,0,,,7,10.4,10.4,8.9,,123,,MarsBy01
426,Keith Mumphery,HOU,WR,24,11,3,0,0,0,0,0,0,0,,0,12,10,69,6.9,0,0,0,0,,,7,16.9,16.9,11.9,,163,,MumpKe00
427,Geoff Swaim,DAL,TE,23,9,6,0,0,0,0,0,0,0,,0,8,6,69,11.5,0,0,0,0,,,7,12.9,12.9,9.9,,80,,SwaiGe00
428,Keenan Allen,SDG,WR,24,1,1,0,0,0,0,0,0,0,,0,7,6,63,10.5,0,0,0,0,,,6,12.3,12.3,9.3,,169,,AlleKe00
429,Jace Amaro,TEN,TE,24,3,0,0,0,0,0,0,0,0,,0,4,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,84,,AmarJa00
430,Brandon Bostick,NYJ,TE,27,16,7,0,0,0,0,0,0,0,,0,11,8,63,7.88,0,0,0,0,,,6,14.3,14.3,10.3,,81,,BostBr00
431,Connor Cook,OAK,QB,23,1,0,14,21,150,1,1,0,0,,0,0,0,0,,0,2,1,0,,,6,6,8,7,,57,,CookCo00
432,Trevor Davis,GNB,WR,23,11,0,0,0,0,0,0,0,0,,0,7,3,24,8,1,2,1,1,,,6,9.4,10.4,7.9,,167,,DaviTr03
433,Johnny Holton,OAK,WR,26,15,0,0,0,0,0,0,6,43,7.17,0,3,2,34,17,0,1,1,0,,,6,7.7,8.7,6.7,,171,,HoltJo00
434,Adrian Peterson,MIN,RB,31,3,3,0,0,0,0,0,37,72,1.95,0,6,3,8,2.67,0,1,1,0,,,6,9,10,7.5,,126,,PeteAd01
435,Phillip Supernaw,TEN,TE,26,15,2,0,0,0,0,0,0,0,,0,5,4,62,15.5,0,0,0,0,,,6,10.2,10.2,8.2,,82,,SupePh00
436,De'Anthony Thomas,KAN,WR,23,12,0,0,0,0,0,0,4,29,7.25,0,9,7,35,5,0,0,0,0,,,6,13.4,13.4,9.9,,168,,ThomDe05
437,D.J. Tialavea,ATL,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,1,,,6,7.1,7.1,6.6,,83,,TialD.00
438,Nick Williams,ATL,WR,26,2,0,0,0,0,0,0,0,0,,0,7,5,59,11.8,0,0,0,0,,,6,10.9,10.9,8.4,,170,,WillNi02
439,Javorius Allen,BAL,RB,25,8,0,0,0,0,0,0,9,34,3.78,0,4,3,15,5,0,0,0,0,,,5,7.9,7.9,6.4,,128,,AlleJa01
440,Knile Davis,2TM,RB,25,11,0,0,0,0,0,0,18,28,1.56,0,7,5,25,5,0,0,0,0,,,5,10.3,10.3,7.8,,127,,DaviKn00
441,Dwayne Harris,NYG,WR,29,16,1,0,0,0,0,0,0,0,,0,1,1,13,13,1,3,1,1,,,5,6.3,7.3,5.8,,172,,HarrDw00
442,Tavarres King,NYG,WR,26,7,0,0,0,0,0,0,0,0,,0,4,2,50,25,0,0,0,0,,,5,7,7,6,,173,,KingTa00
443,Ifeanyi Momah,ARI,WR,27,5,1,0,0,0,0,0,0,0,,0,4,2,50,25,0,0,0,0,,,5,7,7,6,,174,,MomaIf00
444,Troymaine Pope,2TM,RB,23,4,0,0,0,0,0,0,12,44,3.67,0,2,1,5,5,0,0,0,0,,,5,5.9,5.9,5.4,,129,,PopeTr00
445,Tony Romo,DAL,QB,36,1,0,3,4,29,1,0,0,0,,0,0,0,0,,0,0,0,0,,,5,5.2,5.2,5.2,,58,,RomoTo00
446,Brandon Wilds,NYJ,RB,23,4,0,0,0,0,0,0,10,27,2.7,0,2,2,20,10,0,0,0,0,,,5,6.7,6.7,5.7,,130,,WildBr01
447,Nick Boyle,BAL,TE,23,6,0,0,0,0,0,0,0,0,,0,6,6,44,7.33,0,0,0,0,,,4,10.4,10.4,7.4,,85,,BoylNi00
448,Ben Braunecker,CHI,TE,22,13,2,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,86,,BrauBe00
449,Quan Bray,IND,WR,23,6,0,0,0,0,0,0,1,7,7,0,4,3,36,12,0,0,0,0,,,4,7.3,7.3,5.8,,175,,BrayQu00
450,Jakeem Grant,MIA,WR,24,16,0,0,0,0,0,0,1,1,1,0,1,0,0,,0,4,1,1,,,4,4.1,5.1,4.1,,176,,GranJa00
451,Mike James,TAM,RB,25,4,0,0,0,0,0,0,4,19,4.75,0,4,4,22,5.5,0,0,0,0,,,4,8.1,8.1,6.1,,132,,JameMi00
452,Taiwan Jones,OAK,RB,28,13,0,0,0,0,0,0,1,-8,-8,0,4,4,43,10.75,0,0,0,0,,,4,7.5,7.5,5.5,,133,,JoneTa00
453,Daniel Lasco,NOR,RB,24,7,0,0,0,0,0,0,11,32,2.91,0,4,2,11,5.5,0,0,0,0,,,4,6.3,6.3,5.3,,131,,LascDa00
454,Bradley Marquez,LAR,WR,24,14,0,0,0,0,0,0,1,2,2,0,7,3,37,12.33,0,0,0,0,,,4,6.9,6.9,5.4,,177,,MarqBr00
455,Dexter McCluster,SDG,WR,27,6,0,0,0,0,0,0,3,2,0.67,0,11,7,36,5.14,0,0,0,0,,,4,10.8,10.8,7.3,,178,,McClDe00
456,Justin Perillo,GNB,TE,25,9,1,0,0,0,0,0,0,0,,0,5,4,35,8.75,0,0,0,0,,,4,7.5,7.5,5.5,,88,,PeriJu00
457,Brandon Williams,SEA,TE,29,16,1,0,0,0,0,0,0,0,,0,3,2,36,18,0,0,0,0,,,4,5.6,5.6,4.6,,87,,WillBr04
458,D.J. Foster,NWE,RB,23,3,0,0,0,0,0,0,7,24,3.43,0,2,1,2,2,0,0,0,0,,,3,3.6,3.6,3.1,,137,,FostD.01
459,Don Jackson,GNB,RB,23,3,1,0,0,0,0,0,10,32,3.2,0,1,0,0,,0,0,0,0,,,3,3.2,3.2,3.2,,134,,JackDo01
460,Malcolm Johnson,CLE,RB,24,7,1,0,0,0,0,0,1,2,2,0,7,5,44,8.8,0,1,1,0,,,3,7.6,8.6,5.1,,138,,JohnMa06
461,Sean McGrath,SDG,TE,29,16,5,0,0,0,0,0,0,0,,0,2,2,25,12.5,0,0,0,0,,,3,4.5,4.5,3.5,,91,,McGrSe00
462,Niles Paul,WAS,WR,27,8,1,0,0,0,0,0,0,0,,0,2,2,27,13.5,0,0,0,0,,,3,4.7,4.7,3.7,,179,,PaulNi00
463,Isaiah Pead,MIA,RB,27,3,0,0,0,0,0,0,8,22,2.75,0,1,1,6,6,0,0,0,0,,,3,3.8,3.8,3.3,,135,,PeadIs00
464,Lee Smith,OAK,TE,29,4,4,0,0,0,0,0,0,0,,0,6,6,29,4.83,0,0,0,0,,,3,8.9,8.9,5.9,,90,,SmitLe00
465,Nick Vannett,SEA,TE,23,9,2,0,0,0,0,0,0,0,,0,4,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,89,,VannNi00
466,Danny Vitale,CLE,RB,23,9,3,0,0,0,0,0,0,0,,0,5,4,27,6.75,0,0,0,0,,,3,6.7,6.7,4.7,,136,,VitaDa00
467,Antonio Andrews,TEN,RB,24,16,0,0,0,0,0,0,2,15,7.5,0,0,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,141,,AndrAn00
468,Brenton Bersin,CAR,WR,26,10,0,0,0,0,0,0,0,0,,0,6,2,17,8.5,0,0,0,0,,,2,3.7,3.7,2.7,,186,,BersBr00
469,Brandon Bolden,NWE,RB,26,14,0,0,0,0,0,0,1,4,4,0,4,2,15,7.5,0,0,0,0,,,2,3.9,3.9,2.9,,139,,BoldBr00
470,Damiere Byrd,CAR,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,0,,,2,2.6,2.6,2.1,,189,,ByrdDa00
471,James Develin,NWE,TE,28,16,4,0,0,0,0,0,0,0,,0,6,3,18,6,0,0,0,0,,,2,4.8,4.8,3.3,,94,,DeveJa00
472,Jalston Fowler,TEN,RB,26,16,6,0,0,0,0,0,1,3,3,0,2,1,14,14,0,0,0,0,,,2,2.7,2.7,2.2,,140,,FowlJa00
473,Clay Harbor,2TM,TE,29,15,2,0,0,0,0,0,0,0,,0,3,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,93,,HarbCl00
474,Percy Harvin,BUF,WR,28,2,1,0,0,0,0,0,1,11,11,0,4,2,6,3,0,0,0,0,,,2,3.7,3.7,2.7,,187,,HarvPe00
475,Cardale Jones,BUF,QB,24,1,0,6,11,96,0,1,1,-1,-1,0,0,0,0,,0,0,0,0,,,2,1.7,2.7,2.7,,59,,JoneCa01
476,Zach Line,MIN,RB,26,15,4,0,0,0,0,0,7,15,2.14,0,3,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,142,,LineZa01
477,Marc Mariani,TEN,WR,29,16,0,0,0,0,0,0,1,15,15,0,0,0,0,,0,1,0,0,,,2,1.5,1.5,1.5,,190,,MariMa00
478,Matt McGloin,OAK,QB,27,3,1,8,15,50,0,0,3,-3,-1,0,0,0,0,,0,0,0,0,,,2,1.7,1.7,1.7,,60,,McGlMa01
479,J.D. McKissic,SEA,WR,23,1,0,0,0,0,0,0,1,2,2,0,2,2,16,8,0,0,0,0,,,2,3.8,3.8,2.8,,185,,McKiJ.00
480,Logan Paulsen,CHI,TE,29,16,12,0,0,0,0,0,0,0,,0,10,3,15,5,0,0,0,0,,,2,4.5,4.5,3,,96,,PaulLo00
481,Cedric Peerman,CIN,RB,30,6,0,0,0,0,0,0,6,15,2.5,0,1,0,0,,0,0,0,0,,,2,1.5,1.5,1.5,,143,,PeerCe00
482,Jay Prosch,HOU,RB,24,15,1,0,0,0,0,0,4,9,2.25,0,1,1,6,6,0,0,0,0,,,2,2.5,2.5,2,,144,,ProsJa00
483,DeAndre Smelter,SFO,WR,25,2,0,0,0,0,0,0,0,0,,0,1,1,23,23,0,0,0,0,,,2,3.3,3.3,2.8,,181,,SmelDe00
484,Devin Smith,NYJ,WR,24,4,0,0,0,0,0,0,0,0,,0,3,1,20,20,0,0,0,0,,,2,3,3,2.5,,183,,SmitDe04
485,Luke Stocker,TAM,TE,28,12,10,0,0,0,0,0,0,0,,0,8,5,23,4.6,0,0,0,0,,,2,7.3,7.3,4.8,,92,,StocLu00
486,Devin Street,IND,WR,25,5,0,0,0,0,0,0,0,0,,0,6,1,20,20,0,0,0,0,,,2,3,3,2.5,,184,,StreDe00
487,Mike Thomas,LAR,WR,22,15,0,0,0,0,0,0,0,0,,0,9,3,37,12.33,0,1,1,0,,,2,4.7,5.7,3.2,,188,,ThomMi04
488,Ross Travis,KAN,TE,23,6,3,0,0,0,0,0,0,0,,0,6,3,15,5,0,0,0,0,,,2,4.5,4.5,3,,97,,TravRo00
489,Laquon Treadwell,MIN,WR,21,9,1,0,0,0,0,0,0,0,,0,3,1,15,15,0,0,0,0,,,2,2.5,2.5,2,,191,,TreaLa00
490,Griff Whalen,SDG,WR,26,8,0,0,0,0,0,0,0,0,,0,4,2,22,11,0,0,0,0,,,2,4.2,4.2,3.2,,182,,WhalGr00
491,Cole Wick,DET,TE,23,6,0,0,0,0,0,0,0,0,,0,3,2,18,9,0,0,0,0,,,2,3.8,3.8,2.8,,95,,WickCo00
492,Shane Wynn,JAX,WR,24,5,0,0,0,0,0,0,2,5,2.5,0,3,1,19,19,0,0,0,0,,,2,3.4,3.4,2.9,,180,,WynnSh00
493,Jared Abbrederis,GNB,WR,26,5,0,0,0,0,0,0,0,0,,0,2,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,195,,AbbrJa00
494,Joe Banyard,JAX,RB,28,1,0,0,0,0,0,0,2,7,3.5,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,151,,BanyJo00
495,Jeremy Butler,SDG,WR,25,4,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,193,,ButlJe01
496,Derek Carrier,WAS,TE,26,8,0,0,0,0,0,0,0,0,,0,2,2,10,5,0,0,0,0,,,1,3,3,2,,104,,CarrDe00
497,Gerald Christian,BUF,TE,25,3,0,0,0,0,0,0,0,0,,0,2,1,14,14,0,0,0,0,,,1,2.4,2.4,1.9,,98,,ChriGe00
498,Chase Daniel,PHI,QB,30,1,0,1,1,16,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,62,,DaniCh00
499,Alex Ellis,JAX,TE,23,6,3,0,0,0,0,0,0,0,,0,4,3,11,3.67,0,0,0,0,,,1,4.1,4.1,2.6,,103,,ElliAl01
500,David Fales,CHI,QB,26,1,0,2,5,22,0,0,1,0,0,0,0,0,0,,0,1,0,0,,,1,0.9,0.9,0.9,,61,,FaleDa00
501,George Farmer,SEA,RB,23,2,0,0,0,0,0,0,1,1,1,0,3,1,4,4,0,0,0,0,,,1,1.5,1.5,1,,155,,FarmGe02
