Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
213,Chris Conley,KAN,WR,24,16,11,0,0,0,0,0,0,0,,0,69,44,530,12.05,0,1,0,0,,,53,97,100,75,,89,,ConlCh00
214,Jared Goff,LAR,QB,22,7,7,112,205,1089,5,7,8,16,2,1,0,0,0,,0,5,2,1,,,53,53.2,65.2,60.2,,37,,GoffJa00
215,Nelson Agholor,PHI,WR,23,15,14,0,0,0,0,0,5,14,2.8,0,69,36,365,10.14,2,1,0,2,1,,52,87.9,90.9,69.9,,90,,AghoNe00
216,Jesse James,PIT,TE,22,16,13,0,0,0,0,0,0,0,,0,60,39,338,8.67,3,0,0,3,,,52,90.8,93.8,71.3,,30,,JameJe00
217,Josh McCown,CLE,QB,37,5,3,90,165,1100,6,6,7,21,3,0,0,0,0,,0,7,4,0,,1,52,52.1,65.1,58.1,,38,,McCoJo01
218,Julius Thomas,JAX,TE,28,9,6,0,0,0,0,0,0,0,,0,51,30,281,9.37,4,0,0,4,,,52,82.1,85.1,67.1,,29,,ThomJu00
219,Garrett Celek,SFO,TE,28,16,6,0,0,0,0,0,0,0,,0,50,29,350,12.07,3,2,1,3,,,51,80,84,65.5,,32,,CeleGa00
220,Dorial Green-Beckham,PHI,WR,23,15,7,0,0,0,0,0,0,0,,0,74,36,392,10.89,2,0,0,2,,,51,87.2,90.2,69.2,,91,,GreeDo00
221,Jermaine Gresham,ARI,TE,28,16,14,0,0,0,0,0,0,0,,0,61,37,391,10.57,2,1,0,2,,,51,88.1,91.1,69.6,,31,,GresJe00
222,Albert Wilson,KAN,WR,24,16,5,0,0,0,0,0,2,50,25,1,51,31,279,9,2,0,0,3,,,51,81.9,84.9,66.4,,92,,WilsAl02
223,Alfred Blue,HOU,RB,25,14,2,0,0,0,0,0,100,420,4.2,1,16,12,40,3.33,0,2,1,1,,,50,62,66,56,,61,,BlueAl00
224,Andrew Hawkins,CLE,WR,30,16,5,0,0,0,0,0,2,0,0,0,54,33,324,9.82,3,0,0,3,,,50,83.4,86.4,66.9,,93,,HawkAn00
225,Dion Sims,MIA,TE,25,14,11,0,0,0,0,0,0,0,,0,35,26,256,9.85,4,0,0,4,,,50,75.6,78.6,62.6,,33,,SimsDi00
226,Jay Cutler,CHI,QB,33,5,5,81,137,1059,4,5,5,24,4.8,0,0,0,0,,0,6,2,0,,,47,46.8,56.8,51.8,,39,,CutlJa00
227,Russell Shepard,TAM,WR,26,14,4,0,0,0,0,0,1,9,9,0,40,23,341,14.83,2,0,0,2,,,47,70,73,58.5,,94,,ShepRu00
228,Wendell Smallwood,PHI,RB,22,13,3,0,0,0,0,0,77,312,4.05,1,13,6,55,9.17,0,1,1,2,,,47,52.7,56.7,49.7,,63,,SmalWe00
229,Fozzy Whittaker,CAR,RB,27,16,0,0,0,0,0,0,57,265,4.65,0,33,25,226,9.04,0,1,1,0,,,47,72.1,79.1,59.6,,62,,WhitFo00
230,Danny Amendola,NWE,WR,31,12,4,0,0,0,0,0,0,0,,0,29,23,243,10.57,4,3,1,4,,,46,69.3,73.3,57.8,,95,,AmenDa00
231,Brandon Coleman,NOR,WR,24,16,4,0,0,0,0,0,0,0,,0,38,26,281,10.81,3,0,0,3,,,46,72.1,75.1,59.1,,96,,ColeBr00
232,Will Tye,NYG,TE,25,16,10,0,0,0,0,0,0,0,,0,70,48,395,8.23,1,0,0,1,,,46,93.5,96.5,69.5,,34,,TyexWi00
233,Austin Hooper,ATL,TE,22,14,3,0,0,0,0,0,0,0,,0,27,19,271,14.26,3,0,0,3,,,45,64.1,67.1,54.6,,35,,HoopAu00
234,Jamize Olawale,OAK,RB,27,16,7,0,0,0,0,0,17,47,2.76,2,14,12,227,18.92,1,0,0,3,,,45,57.4,60.4,51.4,,64,,OlawJa00
235,Torrey Smith,SFO,WR,27,12,12,0,0,0,0,0,0,0,,0,49,20,267,13.35,3,0,0,3,,,45,64.7,67.7,54.7,,97,,SmitTo02
236,Justin Hardy,ATL,WR,25,16,3,0,0,0,0,0,0,0,,0,31,21,203,9.67,4,0,0,4,,,44,65.3,68.3,54.8,,98,,HardJu00
237,C.J. Prosise,SEA,RB,22,6,2,0,0,0,0,0,30,172,5.73,1,19,17,208,12.24,0,0,0,1,,,44,61,67,52.5,,65,,ProsC.00
238,Charles Sims,TAM,RB,26,7,2,0,0,0,0,0,51,149,2.92,1,32,24,190,7.92,1,1,1,2,,,44,67.9,74.9,55.9,,66,,SimsCh00
239,Justin Hunter,2TM,WR,25,13,5,0,0,0,0,0,0,0,,0,23,10,189,18.9,4,0,0,4,,,43,52.9,55.9,47.9,,99,,HuntJu00
240,Jared Cook,GNB,TE,29,10,5,0,0,0,0,0,0,0,,0,51,30,377,12.57,1,1,1,1,,,42,71.7,75.7,56.7,,36,,CookJa02
241,Justin Forsett,3TM,RB,31,9,6,0,0,0,0,0,87,291,3.34,1,27,20,85,4.25,0,2,1,1,,,42,61.6,65.6,51.6,,67,,ForsJu00
242,Kenyan Drake,MIA,RB,22,16,1,0,0,0,0,0,33,179,5.42,2,10,9,46,5.11,0,1,0,3,,,41,49.5,52.5,45,,69,,DrakKe00
243,John Kuhn,NOR,RB,34,16,3,0,0,0,0,0,18,37,2.06,4,20,16,70,4.38,1,0,0,5,,,41,56.7,56.7,48.7,,68,,KuhnJo00
244,Quinton Patton,SFO,WR,26,14,14,0,0,0,0,0,0,0,,0,63,37,408,11.03,0,1,0,0,,,41,77.8,80.8,59.3,,100,,PattQu00
245,Brice Butler,DAL,WR,26,16,3,0,0,0,0,0,0,0,,0,32,16,219,13.69,3,0,0,3,,,40,55.9,58.9,47.9,,101,,ButlBr00
246,James Starks,GNB,RB,30,9,4,0,0,0,0,0,63,145,2.3,0,25,19,134,7.05,2,1,0,2,,,40,58.9,64.9,49.4,,70,,StarJa00
247,Kamar Aiken,BAL,WR,27,16,6,0,0,0,0,0,0,0,,0,50,29,328,11.31,1,0,0,1,,,39,67.8,70.8,53.3,,102,,AikeKa00
248,Trey Burton,PHI,TE,25,15,4,0,0,0,0,0,0,0,,0,60,37,327,8.84,1,0,0,1,,,39,75.7,78.7,57.2,,39,,BurtTr01
249,Eddie Lacy,GNB,RB,26,5,5,0,0,0,0,0,71,360,5.07,0,7,4,28,7,0,0,0,0,,,39,42.8,45.8,40.8,,71,,LacyEd00
250,Richard Rodgers,GNB,TE,24,16,6,0,0,0,0,0,0,0,,0,47,30,271,9.03,2,0,0,2,,,39,69.1,72.1,54.1,,37,,RodgRi00
251,Jacob Tamme,ATL,TE,31,8,5,0,0,0,0,0,0,0,,0,31,22,210,9.55,3,0,0,3,,,39,61,64,50,,38,,TammJa00
252,Dwayne Washington,DET,RB,22,12,2,0,0,0,0,0,90,265,2.94,1,15,10,62,6.2,0,0,0,1,,,39,48.7,51.7,43.7,,72,,WashDw00
253,Josh Bellamy,CHI,WR,27,16,2,0,0,0,0,0,4,37,9.25,0,38,19,282,14.84,1,0,0,1,,,38,56.9,59.9,47.4,,103,,BellJo02
254,Dion Lewis,NWE,RB,26,7,5,0,0,0,0,0,64,283,4.42,0,24,17,94,5.53,0,1,0,0,,,38,54.7,57.7,46.2,,73,,LewiDi00
255,Aaron Ripkowski,GNB,RB,24,16,8,0,0,0,0,0,34,150,4.41,2,10,9,46,5.11,1,0,0,3,,,38,46.6,49.6,42.1,,74,,RipkAa00
256,Levine Toilolo,ATL,TE,25,16,11,0,0,0,0,0,0,0,,0,19,13,264,20.31,2,0,0,2,,,38,51.4,54.4,44.9,,40,,ToilLe00
257,Kyle Juszczyk,BAL,RB,25,16,7,0,0,0,0,0,5,22,4.4,1,49,37,266,7.19,0,0,0,1,1,,37,73.8,76.8,55.3,,76,,JuszKy00
258,Alfred Morris,DAL,RB,28,14,0,0,0,0,0,0,69,243,3.52,2,6,3,11,3.67,0,0,0,2,,,37,40.4,43.4,38.9,,75,,MorrAl00
259,Ladarius Green,PIT,TE,26,6,2,0,0,0,0,0,0,0,,0,34,18,304,16.89,1,0,0,1,,,36,54.4,57.4,45.4,,41,,GreeLa00
