Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Devon Cajuste,Stanford,Pac-12,10,28,642,22.9,5,0,0,,0,28,642,22.9,5,devon-cajuste-1
2,Tevin Reese,Baylor,Big 12,8,38,867,22.8,8,0,0,,0,38,867,22.8,8,tevin-reese-1
3,Sammie Coates,Auburn,SEC,13,42,902,21.5,7,0,0,,0,42,902,21.5,7,sammie-coates-1
4,Quintin Payton,North Carolina State,ACC,10,23,481,20.9,3,0,0,,0,23,481,20.9,3,quintin-payton-1
5,Breshad Perriman,UCF,American,12,39,811,20.8,4,0,0,,0,39,811,20.8,4,breshad-perriman-1
6,Mario Alford,West Virginia,Big 12,9,27,552,20.4,2,5,47,9.4,0,32,599,18.7,2,mario-alford-1
7,Mike Evans,Texas A&M,SEC,13,69,1394,20.2,12,0,0,,0,69,1394,20.2,12,mike-evans-4
8,J.J. Nelson,UAB,CUSA,10,42,846,20.1,8,2,22,11,0,44,868,19.7,8,jamarcus-nelson-1
9,Martavis Bryant,Clemson,ACC,13,42,828,19.7,7,0,0,,0,42,828,19.7,7,martavis-bryant-1
10,Odell Beckham Jr.,LSU,SEC,13,59,1152,19.5,8,5,58,11.6,0,64,1210,18.9,8,odell-beckham-jr-1
11,Ronnie Moore,Bowling Green State,MAC,14,28,547,19.5,7,14,138,9.9,0,42,685,16.3,7,ronnie-moore-3
12,Antwan Goodley,Baylor,Big 12,13,71,1339,18.9,13,6,33,5.5,0,77,1372,17.8,13,antwan-goodley-1
13,Dres Anderson,Utah,Pac-12,12,53,1002,18.9,7,8,30,3.8,1,61,1032,16.9,8,dres-anderson-1
14,Shavarez Smith,South Alabama,Sun Belt,12,50,940,18.8,6,0,0,,0,50,940,18.8,6,shavarez-smith-1
15,Allen Hurns,Miami (FL),ACC,13,62,1162,18.7,6,1,13,13,0,63,1175,18.7,6,allen-hurns-1
16,Kelvin Benjamin,Florida State,ACC,14,54,1011,18.7,15,0,0,,0,54,1011,18.7,15,kelvin-benjamin-1
17,Chase Cochran,Ohio,MAC,12,37,689,18.6,4,1,4,4,0,38,693,18.2,4,chase-cochran-1
18,Josh Huff,Oregon,Pac-12,13,62,1140,18.4,12,6,28,4.7,0,68,1168,17.2,12,josh-huff-1
19,Titus Davis,Central Michigan,MAC,11,61,1109,18.2,8,7,74,10.6,0,68,1183,17.4,8,titus-davis-1
20,Shaq Roland,South Carolina,SEC,9,25,455,18.2,5,0,0,,0,25,455,18.2,5,shaq-roland-1
21,Robby Anderson,Temple,American,10,44,791,18,9,2,-4,-2,0,46,787,17.1,9,robby-anderson-1
22,L'Damian Washington,Missouri,SEC,13,50,893,17.9,10,0,0,,0,50,893,17.9,10,ldamian-washington-1
23,Stacy Coley,Miami (FL),ACC,12,33,591,17.9,7,2,80,40,1,35,671,19.2,8,stacy-coley-1
24,L.T. Smith,Akron,MAC,11,24,428,17.8,3,0,0,,0,24,428,17.8,3,lt-smith-1
25,Dennis Parks,Rice,CUSA,12,29,508,17.5,3,3,6,2,0,32,514,16.1,3,dennis-parks-1
26,Damiere Byrd,South Carolina,SEC,11,33,575,17.4,4,1,13,13,0,34,588,17.3,4,damiere-byrd-1
27,Kenny Shaw,Florida State,ACC,14,54,933,17.3,6,0,0,,0,54,933,17.3,6,kenny-shaw-1
28,Bennie Fowler,Michigan State,Big Ten,12,36,622,17.3,6,5,20,4,0,41,642,15.7,6,bennie-fowler-1
29,Stefon Diggs,Maryland,ACC,7,34,587,17.3,3,7,45,6.4,0,41,632,15.4,3,stefon-diggs-1
30,Chandler Jones,San Jose State,MWC,12,79,1356,17.2,15,5,12,2.4,0,84,1368,16.3,15,chandler-jones-1
31,Tramaine Thompson,Kansas State,Big 12,11,32,551,17.2,5,2,17,8.5,0,34,568,16.7,5,tramaine-thompson-1
32,Deangelo Yancey,Purdue,Big Ten,8,32,546,17.1,2,0,0,,0,32,546,17.1,2,deangelo-yancey-1
33,Leonte Carroo,Rutgers,American,9,28,478,17.1,9,0,0,,0,28,478,17.1,9,leonte-carroo-1
34,Kivon Cartwright,Colorado State,MWC,13,27,462,17.1,6,4,18,4.5,0,31,480,15.5,6,kivon-cartwright-1
35,Jonathan Krause,Vanderbilt,SEC,11,42,714,17,3,1,11,11,0,43,725,16.9,3,jonathan-krause-1
36,Bryan Holmes,Troy,Sun Belt,12,40,676,16.9,7,0,0,,0,40,676,16.9,7,bryan-holmes-1
37,Markese Triplett,Southern Mississippi,CUSA,10,33,558,16.9,4,0,0,,0,33,558,16.9,4,markese-triplett-1
38,Nick O'Leary,Florida State,ACC,12,33,557,16.9,7,0,0,,0,33,557,16.9,7,nick-oleary-1
39,Danny Woodson Jr.,South Alabama,Sun Belt,8,26,439,16.9,4,0,0,,0,26,439,16.9,4,danny-woodson-jr-1
40,Alex Neutz,Buffalo,MAC,13,61,1024,16.8,12,1,-1,-1,0,62,1023,16.5,12,alex-neutz-1
41,Steve Hull,Illinois,Big Ten,9,59,993,16.8,7,1,-19,-19,0,60,974,16.2,7,steve-hull-1
42,Shaun Joplin,Bowling Green State,MAC,14,54,908,16.8,3,0,0,,0,54,908,16.8,3,shaun-joplin-1
43,Ezell Ruffin,San Diego State,MWC,13,68,1136,16.7,3,8,4,0.5,0,76,1140,15,3,ezell-ruffin-1
44,Devin Street,Pitt,ACC,10,51,854,16.7,7,3,6,2,0,54,860,15.9,7,devin-street-1
45,Devon Smith,Marshall,CUSA,13,39,653,16.7,4,1,7,7,0,40,660,16.5,4,devon-smith-1
46,Deandrew White,Alabama,SEC,13,32,534,16.7,4,0,0,,0,32,534,16.7,4,deandrew-white-1
47,David Porter,TCU,Big 12,9,26,435,16.7,5,0,0,,0,26,435,16.7,5,david-porter-1
48,Jake Murphy,Utah,Pac-12,8,25,417,16.7,5,0,0,,0,25,417,16.7,5,jake-murphy-1
49,Maxx Williams,Minnesota,Big Ten,11,25,417,16.7,5,1,7,7,0,26,424,16.3,5,maxx-williams-1
50,Albert Wilson,Georgia State,Sun Belt,12,71,1177,16.6,8,24,251,10.5,1,95,1428,15,9,albert-wilson-1
51,Chris Gant,Hawaii,MWC,12,59,973,16.5,9,5,14,2.8,1,64,987,15.4,10,chris-gant-1
52,Nelson Agholor,USC,Pac-12,14,56,918,16.4,6,2,8,4,0,58,926,16,6,nelson-agholor-1
53,Gator Hoskins,Marshall,CUSA,14,50,821,16.4,15,0,0,,0,50,821,16.4,15,gator-hoskins-1
54,Amari Cooper,Alabama,SEC,11,45,736,16.4,4,1,28,28,0,46,764,16.6,4,amari-cooper-1
55,Travis Reynolds,Utah State,MWC,11,51,832,16.3,4,1,-5,-5,0,52,827,15.9,4,travis-reynolds-1
56,Da'Ron Brown,Northern Illinois,MAC,12,46,752,16.3,9,7,45,6.4,0,53,797,15,9,daron-brown-1
57,Paul Richardson,Colorado,Pac-12,12,83,1343,16.2,10,1,7,7,0,84,1350,16.1,10,paul-richardson-1
58,Robert Davis,Georgia State,Sun Belt,12,44,711,16.2,4,0,0,,0,44,711,16.2,4,robert-davis-10
59,Dom Williams,Washington State,Pac-12,13,40,647,16.2,7,0,0,,0,40,647,16.2,7,dom-williams-1
60,Devante Parker,Louisville,American,12,55,885,16.1,12,0,0,,0,55,885,16.1,12,devante-parker-1
61,Quron Pratt,Rutgers,American,12,32,516,16.1,0,1,-2,-2,0,33,514,15.6,0,quron-pratt-1
62,Amba Etta,Maryland,ACC,10,31,500,16.1,2,0,0,,0,31,500,16.1,2,amba-etta-1
63,Chandler Worthy,Troy,Sun Belt,9,25,403,16.1,2,8,44,5.5,1,33,447,13.5,3,chandler-worthy-1
64,Jamal Robinson,Louisiana,Sun Belt,13,54,862,16,8,0,0,,0,54,862,16,8,jamal-robinson-3
65,Derel Walker,Texas A&M,SEC,13,51,818,16,5,0,0,,0,51,818,16,5,derel-walker-1
66,Joshua Stanford,Virginia Tech,ACC,13,40,640,16,1,0,0,,0,40,640,16,1,joshua-stanford-1
67,Alex Bayer,Bowling Green State,MAC,14,37,593,16,4,0,0,,0,37,593,16,4,alex-bayer-1
68,Clay Fuller,Baylor,Big 12,12,32,512,16,3,0,0,,0,32,512,16,3,clay-fuller-1
69,Derrick Engel,Minnesota,Big Ten,9,25,401,16,5,2,12,6,0,27,413,15.3,5,derrick-engel-1
70,Donte Moncrief,Ole Miss,SEC,13,59,938,15.9,6,0,0,,0,59,938,15.9,6,donte-moncrief-1
71,Ryan Burbrink,Bowling Green State,MAC,13,30,477,15.9,2,0,0,,0,30,477,15.9,2,ryan-burbrink-1
72,T.J. Jones,Notre Dame,Ind,13,70,1108,15.8,9,9,67,7.4,2,79,1175,14.9,11,tj-jones-2
73,Bruce Ellington,South Carolina,SEC,12,49,775,15.8,8,3,14,4.7,0,52,789,15.2,8,bruce-ellington-1
74,William Dukes,Florida Atlantic,CUSA,12,35,553,15.8,6,0,0,,0,35,553,15.8,6,william-dukes-1
75,Brandon Coleman,Rutgers,American,12,34,538,15.8,4,0,0,,0,34,538,15.8,4,brandon-coleman-2
76,Billy Freeman,San Jose State,MWC,12,27,427,15.8,2,0,0,,0,27,427,15.8,2,billy-freeman-2
77,Eric Ebron,North Carolina,ACC,13,62,973,15.7,3,2,7,3.5,0,64,980,15.3,3,eric-ebron-1
78,Ty Montgomery,Stanford,Pac-12,14,61,958,15.7,10,13,159,12.2,2,74,1117,15.1,12,ty-montgomery-1
79,Cody Hoffman,Brigham Young,Ind,11,57,894,15.7,5,0,0,,0,57,894,15.7,5,cody-hoffman-1
80,Kofi Hughes,Indiana,Big Ten,11,47,739,15.7,7,0,0,,0,47,739,15.7,7,kofi-hughes-1
81,Tyler Lockett,Kansas State,Big 12,12,81,1262,15.6,11,2,10,5,0,83,1272,15.3,11,tyler-lockett-1
82,Levi Norwood,Baylor,Big 12,13,47,733,15.6,8,0,0,,0,47,733,15.6,8,levi-norwood-1
83,Richard Rodgers,California,Pac-12,11,39,608,15.6,1,7,9,1.3,0,46,617,13.4,1,richard-rodgers-1
84,Troy Niklas,Notre Dame,Ind,13,32,498,15.6,5,0,0,,0,32,498,15.6,5,troy-niklas-1
85,Jarvis Landry,LSU,SEC,13,77,1193,15.5,10,0,0,,0,77,1193,15.5,10,jarvis-landry-1
86,Keenan Holman,SMU,American,12,67,1037,15.5,9,0,0,,0,67,1037,15.5,9,keenan-holman-1
87,Rannell Hall,UCF,American,13,57,886,15.5,5,14,121,8.6,1,71,1007,14.2,6,rannell-hall-1
88,D.J. Coles,Virginia Tech,ACC,12,25,387,15.5,6,2,1,0.5,0,27,388,14.4,6,dj-coles-1
89,Jeremy Gallon,Michigan,Big Ten,13,89,1373,15.4,9,3,4,1.3,0,92,1377,15,9,jeremy-gallon-1
90,Jordan Taylor,Rice,CUSA,14,55,848,15.4,8,0,0,,0,55,848,15.4,8,jordan-taylor-2
91,Max Morrison,Cincinnati,American,13,29,447,15.4,3,1,3,3,0,30,450,15,3,max-morrison-1
92,Kendrick Roberts,Western Michigan,MAC,10,23,354,15.4,1,0,0,,0,23,354,15.4,1,kendrick-roberts-1
93,Geremy Davis,Connecticut,American,12,71,1085,15.3,3,0,0,,0,71,1085,15.3,3,geremy-davis-1
94,Kevin Smith,Washington,Pac-12,13,50,765,15.3,4,1,-10,-10,0,51,755,14.8,4,kevin-smith-3
95,Devin Funchess,Michigan,Big Ten,13,49,748,15.3,6,6,34,5.7,0,55,782,14.2,6,devin-funchess-1
96,J.J. Worton,UCF,American,13,47,721,15.3,7,0,0,,0,47,721,15.3,7,jj-worton-1
97,Deon Long,Maryland,ACC,7,32,489,15.3,1,1,18,18,0,33,507,15.4,1,deon-long-1
98,Arthur Lynch,Georgia,SEC,11,30,459,15.3,5,0,0,,0,30,459,15.3,5,arthur-lynch-1
99,Jarrod West,Syracuse,ACC,9,26,397,15.3,1,0,0,,0,26,397,15.3,1,jarrod-west-1
100,Cody Latimer,Indiana,Big Ten,12,72,1096,15.2,9,0,0,,0,72,1096,15.2,9,cody-latimer-1
101,Richard Mullaney,Oregon State,Pac-12,13,52,788,15.2,3,0,0,,0,52,788,15.2,3,richard-mullaney-1
102,Davaris Daniels,Notre Dame,Ind,13,49,745,15.2,7,2,-4,-2,0,51,741,14.5,7,davaris-daniels-1
103,Quinshad Davis,North Carolina,ACC,13,48,730,15.2,10,2,1,0.5,0,50,731,14.6,10,quinshad-davis-1
104,Gerald Christian,Louisville,American,12,28,426,15.2,4,0,0,,0,28,426,15.2,4,gerald-christian-1
105,Dawan Scott,Miami (OH),MAC,11,28,425,15.2,2,37,231,6.2,0,65,656,10.1,2,dawan-scott-1
106,Dominique Sullivan,Southern Mississippi,CUSA,11,23,350,15.2,3,0,0,,0,23,350,15.2,3,dominique-sullivan-1
107,Shaquelle Evans,UCLA,Pac-12,13,47,709,15.1,9,0,0,,0,47,709,15.1,9,shaquelle-evans-1
108,Corey Coleman,Baylor,Big 12,12,35,527,15.1,2,0,0,,0,35,527,15.1,2,corey-coleman-1
109,Juwan Brescacin,Northern Illinois,MAC,11,33,499,15.1,6,0,0,,0,33,499,15.1,6,juwan-brescacin-1
110,Jaelen Strong,Arizona State,Pac-12,14,75,1122,15,7,0,0,,0,75,1122,15,7,jaelen-strong-1
111,Eric Thomas,Troy,Sun Belt,12,66,993,15,12,2,1,0.5,0,68,994,14.6,12,eric-thomas-2
112,Dorial Green-Beckham,Missouri,SEC,14,59,883,15,12,1,3,3,0,60,886,14.8,12,dorial-green-beckham-1
113,Andre Davis,South Florida,American,12,49,735,15,2,0,0,,0,49,735,15,2,andre-davis-4
114,Devin Smith,Ohio State,Big Ten,14,44,660,15,8,0,0,,0,44,660,15,8,devin-smith-2
115,Tim Smith,Virginia,ACC,12,26,389,15,1,0,0,,0,26,389,15,1,tim-smith-1
116,Brelan Chancellor,North Texas,CUSA,13,53,792,14.9,4,16,123,7.7,2,69,915,13.3,6,brelan-chancellor-1
117,Kevin Norwood,Alabama,SEC,12,38,568,14.9,7,0,0,,0,38,568,14.9,7,kevin-norwood-1
118,Rashad Lawrence,Northwestern,Big Ten,9,31,463,14.9,1,0,0,,0,31,463,14.9,1,rashad-lawrence-1
119,Allen Robinson,Penn State,Big Ten,12,97,1432,14.8,6,6,36,6,0,103,1468,14.3,6,allen-robinson-1
120,Devante Davis,UNLV,MWC,13,87,1290,14.8,14,0,0,,0,87,1290,14.8,14,devante-davis-1
121,Rashad Greene,Florida State,ACC,14,76,1128,14.8,9,1,9,9,0,77,1137,14.8,9,rashad-greene-1
122,Donte Foster,Ohio,MAC,13,69,1018,14.8,7,1,5,5,0,70,1023,14.6,7,donte-foster-1
123,Rashon Ceaser,Louisiana-Monroe,Sun Belt,12,65,964,14.8,5,0,0,,0,65,964,14.8,5,rashon-ceaser-1
124,Tyler Winston,San Jose State,MWC,10,58,858,14.8,5,0,0,,0,58,858,14.8,5,tyler-winston-1
125,Daniel Spencer,Houston,American,13,52,768,14.8,6,10,138,13.8,1,62,906,14.6,7,daniel-spencer-1
126,Quincy Enunwa,Nebraska,Big Ten,12,51,753,14.8,12,3,-1,-0.3,0,54,752,13.9,12,quincy-enunwa-1
127,Jamari Staples,UAB,CUSA,9,31,458,14.8,4,0,0,,0,31,458,14.8,4,jamari-staples-1
128,Deontay Greenberry,Houston,American,12,82,1202,14.7,11,2,6,3,0,84,1208,14.4,11,deontay-greenberry-1
129,Jerrel Brown,New Mexico State,Ind,12,33,484,14.7,2,0,0,,0,33,484,14.7,2,jerrel-brown-1
130,Sean Fitzgerald,Utah,Pac-12,12,32,471,14.7,5,0,0,,0,32,471,14.7,5,sean-fitzgerald-1
131,Jumichael Ramos,North Carolina State,ACC,10,24,352,14.7,3,0,0,,0,24,352,14.7,3,jumichael-ramos-1
132,Jordan Williams,Ball State,MAC,13,72,1050,14.6,9,0,0,,0,72,1050,14.6,9,jordan-williams-3
133,Bralon Addison,Oregon,Pac-12,13,61,890,14.6,7,3,21,7,0,64,911,14.2,7,bralon-addison-1
134,Jhajuan Seales,Oklahoma State,Big 12,13,39,571,14.6,3,1,11,11,0,40,582,14.6,3,jhajuan-seales-1
135,Christopher Coyle,Arizona State,Pac-12,12,29,423,14.6,4,0,0,,0,29,423,14.6,4,christopher-coyle-1
136,Hunter Henry,Arkansas,SEC,10,28,409,14.6,4,0,0,,0,28,409,14.6,4,hunter-henry-1
137,Sammy Watkins,Clemson,ACC,13,101,1464,14.5,12,6,11,1.8,0,107,1475,13.8,12,sammy-watkins-1
138,Tracy Moore,Oklahoma State,Big 12,13,51,738,14.5,6,1,3,3,0,52,741,14.3,6,tracy-moore-1
139,Chris Conley,Georgia,SEC,11,45,651,14.5,4,0,0,,0,45,651,14.5,4,chris-conley-1
140,Kevin White,West Virginia,Big 12,10,35,507,14.5,5,0,0,,0,35,507,14.5,5,kevin-white-6
141,Kasen Williams,Washington,Pac-12,8,29,421,14.5,1,1,7,7,0,30,428,14.3,1,kasen-williams-1
142,Herb Waters,Miami (FL),ACC,9,28,406,14.5,5,2,58,29,1,30,464,15.5,6,herb-waters-1
143,Shakim Phillips,Connecticut,American,6,28,406,14.5,3,0,0,,0,28,406,14.5,3,shakim-phillips-2
144,Xavier Maxwell,Houston,American,11,28,405,14.5,4,0,0,,0,28,405,14.5,4,xavier-maxwell-1
145,Lacoltan Bester,Oklahoma,Big 12,12,27,392,14.5,2,1,35,35,1,28,427,15.3,3,lacoltan-bester-1
146,Jameon Lewis,Mississippi State,SEC,13,64,923,14.4,5,13,117,9,3,77,1040,13.5,8,jameon-lewis-1
147,Marcus Henry,Middle Tennessee State,CUSA,13,38,549,14.4,3,0,0,,0,38,549,14.4,3,marcus-henry-2
148,Willie Snead,Ball State,MAC,13,106,1516,14.3,15,0,0,,0,106,1516,14.3,15,willie-snead-3
149,Mike Davis,Texas,Big 12,12,51,727,14.3,8,0,0,,0,51,727,14.3,8,mike-davis-2
150,Chris Moore,Cincinnati,American,13,45,645,14.3,9,2,16,8,0,47,661,14.1,9,chris-moore-4
151,Der'Rikk Thompson,SMU,American,8,32,459,14.3,2,0,0,,0,32,459,14.3,2,derrikk-thompson-1
152,Justin Coleman,Iowa State,Big 12,10,31,442,14.3,3,0,0,,0,31,442,14.3,3,justin-coleman-3
153,Reese Wiggins,East Carolina,CUSA,10,26,372,14.3,4,0,0,,0,26,372,14.3,4,reese-wiggins-1
154,Colin Lockett,San Diego State,MWC,12,52,736,14.2,5,2,52,26,1,54,788,14.6,6,colin-lockett-1
155,Demitri Knowles,Virginia Tech,ACC,13,45,641,14.2,2,4,23,5.8,0,49,664,13.6,2,demitri-knowles-1
156,Ian Hamilton,UTEP,CUSA,8,25,354,14.2,1,0,0,,0,25,354,14.2,1,ian-hamilton-1
157,Quenton Bundrage,Iowa State,Big 12,12,48,676,14.1,9,1,-5,-5,0,49,671,13.7,9,quenton-bundrage-1
158,Jacob Pedersen,Wisconsin,Big Ten,11,39,551,14.1,3,0,0,,0,39,551,14.1,3,jacob-pedersen-1
159,Javontee Herndon,Arkansas,SEC,12,31,437,14.1,4,4,60,15,1,35,497,14.2,5,javontee-herndon-1
160,Rantavious Wooten,Georgia,SEC,10,30,424,14.1,5,1,11,11,0,31,435,14,5,rantavious-wooten-1
161,Corey Davis,Western Michigan,MAC,11,67,941,14,6,1,2,2,0,68,943,13.9,6,corey-davis-3
162,Kyle Nunn,San Jose State,MWC,10,36,505,14,5,0,0,,0,36,505,14,5,kyle-nunn-1
163,James Butler,Louisiana,Sun Belt,10,26,363,14,1,0,0,,0,26,363,14,1,james-butler-2
164,Jared Abbrederis,Wisconsin,Big Ten,13,78,1081,13.9,7,6,119,19.8,2,84,1200,14.3,9,jared-abbrederis-1
165,Marqise Lee,USC,Pac-12,11,57,791,13.9,4,6,7,1.2,0,63,798,12.7,4,marqise-lee-1
166,Tony Lippett,Michigan State,Big Ten,12,44,613,13.9,2,1,3,3,0,45,616,13.7,2,tony-lippett-1
167,Jordan Leslie,UTEP,CUSA,12,44,612,13.9,7,3,8,2.7,0,47,620,13.2,7,jordan-leslie-1
168,Matt Waters,Ohio,MAC,11,32,446,13.9,3,0,0,,0,32,446,13.9,3,matt-waters-1
169,Tony Pierson,Kansas,Big 12,6,24,333,13.9,1,24,163,6.8,0,48,496,10.3,1,tony-pierson-1
170,Tyler Boyd,Pitt,ACC,13,85,1174,13.8,7,11,108,9.8,1,96,1282,13.4,8,tyler-boyd-1
171,Shane Wynn,Indiana,Big Ten,12,46,633,13.8,11,4,12,3,1,50,645,12.9,12,shane-wynn-1
172,Keevan Lucas,Tulsa,CUSA,12,32,442,13.8,1,12,73,6.1,0,44,515,11.7,1,keevan-lucas-1
173,Quinton Dunbar,Florida,SEC,12,40,548,13.7,0,0,0,,0,40,548,13.7,0,quinton-dunbar-1
174,Ryan Alderman,Temple,American,12,40,548,13.7,2,0,0,,0,40,548,13.7,2,ryan-alderman-1
175,Jalen Claiborne,Wyoming,MWC,11,33,452,13.7,5,0,0,,0,33,452,13.7,5,jalen-claiborne-1
176,Caleb Smith,Oregon State,Pac-12,11,25,343,13.7,4,0,0,,0,25,343,13.7,4,caleb-smith-1
177,Jamill Smith,Ball State,MAC,13,67,911,13.6,8,4,33,8.3,1,71,944,13.3,9,jamill-smith-1
178,Nate Phillips,Arizona,Pac-12,13,51,696,13.6,7,2,7,3.5,0,53,703,13.3,7,nate-phillips-1
179,Levern Jacobs,Maryland,ACC,12,47,640,13.6,3,6,26,4.3,0,53,666,12.6,3,levern-jacobs-1
180,Javess Blue,Kentucky,SEC,11,43,586,13.6,4,4,19,4.8,0,47,605,12.9,4,javess-blue-1
181,Nigel King,Maryland,ACC,11,33,450,13.6,4,0,0,,0,33,450,13.6,4,nigel-king-1
182,Marcel Jensen,Fresno State,MWC,11,26,353,13.6,3,0,0,,0,26,353,13.6,3,marcel-jensen-1
183,Joseph Matthews,New Mexico State,Ind,11,23,313,13.6,0,0,0,,0,23,313,13.6,0,joseph-matthews-1
184,Brandin Cooks,Oregon State,Pac-12,13,128,1730,13.5,16,32,217,6.8,2,160,1947,12.2,18,brandin-cooks-1
185,Ryan Grant,Tulane,CUSA,13,77,1039,13.5,9,0,0,,0,77,1039,13.5,9,ryan-grant-2
186,Bernard Reedy,Toledo,MAC,12,62,840,13.5,8,5,15,3,0,67,855,12.8,8,bernard-reedy-1
187,Tyreese Russell,Eastern Michigan,MAC,12,44,594,13.5,3,0,0,,0,44,594,13.5,3,tyreese-russell-1
188,Zach D'Orazio,Akron,MAC,12,42,567,13.5,4,1,-2,-2,0,43,565,13.1,4,zach-dorazio-1
189,Geraldo Boldewijn,Boise State,MWC,12,39,528,13.5,2,0,0,,0,39,528,13.5,2,geraldo-boldewijn-1
190,De'Runnya Wilson,Mississippi State,SEC,10,26,351,13.5,3,0,0,,0,26,351,13.5,3,derunnya-wilson-1
191,Alex Amidon,Boston College,ACC,13,77,1032,13.4,5,8,47,5.9,1,85,1079,12.7,6,alex-amidon-1
192,Damian Copeland,Louisville,American,13,58,780,13.4,5,3,21,7,0,61,801,13.1,5,damian-copeland-1
193,Charlie Moore,Oklahoma State,Big 12,13,35,468,13.4,5,0,0,,0,35,468,13.4,5,charlie-moore-1
194,Xavier Moss,Army,Ind,10,35,468,13.4,1,2,-9,-4.5,0,37,459,12.4,1,xavier-moss-1
195,Clive Walford,Miami (FL),ACC,12,34,454,13.4,2,0,0,,0,34,454,13.4,2,clive-walford-1
196,Thomas Roberson,Tulsa,CUSA,7,27,363,13.4,4,1,-5,-5,0,28,358,12.8,4,thomas-roberson-1
197,River Cracraft,Washington State,Pac-12,12,46,614,13.3,3,0,0,,0,46,614,13.3,3,river-cracraft-1
198,Tavarres Jefferson,Middle Tennessee State,CUSA,11,46,611,13.3,5,0,0,,0,46,611,13.3,5,tavarres-jefferson-1
199,Ja-Mes Logan,Ole Miss,SEC,11,44,583,13.3,3,0,0,,0,44,583,13.3,3,ja-mes-logan-1
200,Tyler Kroft,Rutgers,American,13,43,573,13.3,4,0,0,,0,43,573,13.3,4,tyler-kroft-1
201,Jesse James,Penn State,Big Ten,10,25,333,13.3,3,0,0,,0,25,333,13.3,3,jesse-james-1
202,Jordan Matthews,Vanderbilt,SEC,13,112,1477,13.2,7,6,54,9,0,118,1531,13,7,jordan-matthews-1
203,Davante Adams,Fresno State,MWC,13,131,1719,13.1,24,0,0,,0,131,1719,13.1,24,davante-adams-1
204,Michael Bennett,Georgia,SEC,11,41,538,13.1,4,0,0,,0,41,538,13.1,4,michael-bennett-4
205,Marquez North,Tennessee,SEC,11,38,496,13.1,1,1,9,9,0,39,505,12.9,1,marquez-north-1
206,Nicholas Norris,Western Kentucky,Sun Belt,11,33,431,13.1,4,2,15,7.5,0,35,446,12.7,4,nicholas-norris-1
207,Dri Archer,Kent State,MAC,10,25,327,13.1,4,68,527,7.8,6,93,854,9.2,10,dri-archer-1
208,Matt Miller,Boise State,MWC,13,88,1140,13,12,0,0,,0,88,1140,13,12,matt-miller-6
209,Anthony McClung,Cincinnati,American,12,72,939,13,5,0,0,,0,72,939,13,5,anthony-mcclung-1
210,Braxton Deaver,Duke,ACC,14,46,600,13,4,0,0,,0,46,600,13,4,braxton-deaver-1
211,Willie McNeal,Western Kentucky,Sun Belt,12,46,599,13,5,0,0,,0,46,599,13,5,willie-mcneal-1
212,Chris Williams,Troy,Sun Belt,11,31,402,13,2,1,4,4,0,32,406,12.7,2,chris-williams-10
213,Malcolm Johnson,Mississippi State,SEC,12,30,391,13,2,0,0,,0,30,391,13,2,malcolm-johnson-2
214,Joel German,Western Kentucky,Sun Belt,8,26,339,13,0,0,0,,0,26,339,13,0,joel-german-1
215,Bradley Miller,Texas State,Sun Belt,12,24,311,13,0,0,0,,0,24,311,13,0,bradley-miller-1
216,Jenson Stoshak,Florida Atlantic,CUSA,9,23,298,13,0,0,0,,0,23,298,13,0,jenson-stoshak-1
217,Dominic Rufran,Wyoming,MWC,12,75,965,12.9,8,1,1,1,0,76,966,12.7,8,dominic-rufran-1
218,Robert Herron,Wyoming,MWC,12,72,932,12.9,9,2,12,6,0,74,944,12.8,9,robert-herron-1
219,Austin Franklin,New Mexico State,Ind,8,52,670,12.9,7,14,69,4.9,0,66,739,11.2,7,austin-franklin-1
220,Willie Byrn,Virginia Tech,ACC,12,51,660,12.9,2,0,0,,0,51,660,12.9,2,willie-byrn-1
221,Bradley Marquez,Texas Tech,Big 12,13,49,633,12.9,6,0,0,,0,49,633,12.9,6,bradley-marquez-1
222,Dustin Creel,Eastern Michigan,MAC,11,46,593,12.9,5,0,0,,0,46,593,12.9,5,dustin-creel-1
223,Darryl Surgent,Louisiana,Sun Belt,13,31,400,12.9,5,5,20,4,0,36,420,11.7,5,darryl-surgent-1
