Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Aaron Cephus,Rice,CUSA,10,25,622,24.9,5,0,0,,0,25,622,24.9,5,aaron-cephus-1
2,Emanuel Hall,Missouri,SEC,10,33,817,24.8,8,0,0,,0,33,817,24.8,8,emanuel-hall-1
3,Byron Pringle,Kansas State,Big 12,12,30,724,24.1,6,1,15,15,0,31,739,23.8,6,byron-pringle-1
4,Damion Ratley,Texas A&M,SEC,12,30,694,23.1,6,0,0,,0,30,694,23.1,6,damion-ratley-1
5,Darius Slayton,Auburn,SEC,11,29,643,22.2,5,0,0,,0,29,643,22.2,5,darius-slayton-1
6,D.J. Chark,LSU,SEC,13,40,874,21.9,3,12,63,5.3,1,52,937,18,4,dj-chark-1
7,Ricky Jeune,Georgia Tech,ACC,11,25,545,21.8,6,1,30,30,0,26,575,22.1,6,ricky-jeune-1
8,Arkeel Newsome,Connecticut,American,10,25,541,21.6,2,67,261,3.9,3,92,802,8.7,5,arkeel-newsome-1
9,Kwadarrius Smith,Akron,MAC,11,34,726,21.4,7,0,0,,0,34,726,21.4,7,kwadarrius-smith-1
10,James Washington,Oklahoma State,Big 12,13,74,1549,20.9,13,3,12,4,1,77,1561,20.3,14,james-washington-5
11,Jamire Jordan,Fresno State,MWC,13,27,562,20.8,3,1,-7,-7,0,28,555,19.8,3,jamire-jordan-1
12,Chris Jones,Coastal Carolina,Sun Belt,10,26,536,20.6,4,4,45,11.3,0,30,581,19.4,4,chris-jones-17
13,James Proche,SMU,American,12,40,816,20.4,6,0,0,,0,40,816,20.4,6,james-proche-1
14,Andre Levrone,Virginia,ACC,12,34,689,20.3,7,0,0,,0,34,689,20.3,7,andre-levrone-1
15,Tre'Quan Smith,UCF,American,13,59,1171,19.8,13,5,23,4.6,1,64,1194,18.7,14,trequan-smith-1
16,James Gardner,Miami (OH),MAC,11,47,927,19.7,11,0,0,,0,47,927,19.7,11,james-gardner-1
17,Marcell Ateman,Oklahoma State,Big 12,13,59,1156,19.6,8,0,0,,0,59,1156,19.6,8,marcell-ateman-1
18,Tyler Johnson,Minnesota,Big Ten,10,35,677,19.3,7,0,0,,0,35,677,19.3,7,tyler-johnson-6
19,Marquise Brown,Oklahoma,Big 12,13,57,1095,19.2,7,1,0,0,0,58,1095,18.9,7,marquise-brown-1
20,Cody Thompson,Toledo,MAC,5,28,537,19.2,4,0,0,,0,28,537,19.2,4,cody-thompson-1
21,Tyree McCants,South Florida,American,11,36,686,19.1,7,1,30,30,0,37,716,19.4,7,tyree-mccants-1
22,Marcus Simms,West Virginia,Big 12,12,35,663,18.9,5,1,-1,-1,0,36,662,18.4,5,marcus-simms-1
23,Datrin Guyton,Bowling Green State,MAC,11,31,585,18.9,2,0,0,,0,31,585,18.9,2,datrin-guyton-1
24,T.J. Vasher,Texas Tech,Big 12,9,29,545,18.8,6,0,0,,0,29,545,18.8,6,tj-vasher-1
25,Terren Encalade,Tulane,American,12,39,730,18.7,4,4,91,22.8,1,43,821,19.1,5,terren-encalade-1
26,Tyrie Cleveland,Florida,SEC,9,22,410,18.6,2,2,6,3,0,24,416,17.3,2,tyrie-cleveland-1
27,Malcolm Williams,Coastal Carolina,Sun Belt,11,43,793,18.4,7,12,54,4.5,0,55,847,15.4,7,malcolm-williams-4
28,Jordan Lasley,UCLA,Pac-12,9,69,1264,18.3,9,4,-6,-1.5,0,73,1258,17.2,9,jordan-lasley-1
29,Cedric Wilson,Boise State,MWC,14,83,1511,18.2,7,9,13,1.4,0,92,1524,16.6,7,cedric-wilson-3
30,RJ Turner,Louisiana-Monroe,Sun Belt,10,38,693,18.2,6,1,9,9,0,39,702,18,6,rj-turner-1
31,Anthony Ratliff-Williams,North Carolina,ACC,12,35,630,18,6,1,1,1,0,36,631,17.5,6,anthony-ratliff-williams-1
32,Devonte Boyd,UNLV,MWC,11,34,612,18,3,0,0,,0,34,612,18,3,devonte-boyd-1
33,Anthony Johnson,Buffalo,MAC,12,76,1356,17.8,14,4,-5,-1.3,0,80,1351,16.9,14,anthony-johnson-13
34,Denzel Mims,Baylor,Big 12,12,61,1087,17.8,8,1,-6,-6,0,62,1081,17.4,8,denzel-mims-1
35,Trevon Brown,East Carolina,American,12,60,1069,17.8,7,2,16,8,0,62,1085,17.5,7,trevon-brown-1
36,Turner Smiley,North Texas,CUSA,11,35,623,17.8,5,0,0,,0,35,623,17.8,5,turner-smiley-1
37,Adonis Jennings,Temple,American,13,42,742,17.7,7,2,22,11,0,44,764,17.4,7,adonis-jennings-1
38,Johnathon Johnson,Missouri,SEC,13,41,724,17.7,6,1,0,0,0,42,724,17.2,6,johnathon-johnson-2
39,C.J. Johnson,Wyoming,MWC,12,30,531,17.7,7,2,15,7.5,0,32,546,17.1,7,cj-johnson-4
40,Darnell Mooney,Tulane,American,11,34,599,17.6,4,0,0,,0,34,599,17.6,4,darnell-mooney-1
41,Rhashid Bonnette,Louisiana Tech,CUSA,10,33,582,17.6,2,1,3,3,0,34,585,17.2,2,rhashid-bonnette-1
42,CeeDee Lamb,Oklahoma,Big 12,13,46,807,17.5,7,0,0,,0,46,807,17.5,7,ceedee-lamb-1
43,Papi White,Ohio,MAC,9,36,631,17.5,3,4,46,11.5,0,40,677,16.9,3,papi-white-1
44,Jalen Reagor,TCU,Big 12,14,33,576,17.5,8,8,65,8.1,0,41,641,15.6,8,jalen-reagor-1
45,Diontae Johnson,Toledo,MAC,14,74,1278,17.3,13,2,9,4.5,0,76,1287,16.9,13,diontae-johnson-1
46,Anthony Mahoungou,Purdue,Big Ten,12,40,688,17.2,8,0,0,,0,40,688,17.2,8,anthony-mahoungou-1
47,Kamathi Holsey,Buffalo,MAC,8,32,548,17.1,1,0,0,,0,32,548,17.1,1,kamathi-holsey-1
48,DaMarkus Lodge,Ole Miss,SEC,12,41,698,17,7,0,0,,0,41,698,17,7,damarkus-lodge-1
49,Jester Weah,Pitt,ACC,11,41,698,17,4,0,2,,0,41,700,17.1,4,jester-weah-1
50,Hakeem Butler,Iowa State,Big 12,13,41,697,17,7,0,0,,0,41,697,17,7,hakeem-butler-1
51,Jalen Harvey,Arizona State,Pac-12,11,33,558,16.9,1,1,2,2,0,34,560,16.5,1,jalen-harvey-2
52,D'Wayne Eskridge,Western Michigan,MAC,12,30,506,16.9,3,4,13,3.3,0,34,519,15.3,3,dwayne-eskridge-1
53,Marquez Callaway,Tennessee,SEC,10,24,406,16.9,5,1,4,4,0,25,410,16.4,5,marquez-callaway-1
54,Terry Godwin,Georgia,SEC,13,38,639,16.8,6,0,0,,0,38,639,16.8,6,terry-godwin-1
55,A.J. Brown,Ole Miss,SEC,11,75,1252,16.7,11,0,0,,0,75,1252,16.7,11,aj-brown-3
56,Quintez Cephus,Wisconsin,Big Ten,10,30,501,16.7,6,4,5,1.3,0,34,506,14.9,6,quintez-cephus-1
57,J'Mon Moore,Missouri,SEC,13,65,1082,16.6,10,0,0,,0,65,1082,16.6,10,jmon-moore-2
58,Marquez Valdes-Scantling,South Florida,American,12,53,879,16.6,6,8,108,13.5,1,61,987,16.2,7,marquez-valdes-scantling-1
59,D.K. Metcalf,Ole Miss,SEC,12,39,646,16.6,7,0,0,,0,39,646,16.6,7,dk-metcalf-1
60,Ka'Raun White,West Virginia,Big 12,13,61,1004,16.5,12,0,0,,0,61,1004,16.5,12,karaun-white-1
61,Kalija Lipscomb,Vanderbilt,SEC,12,37,610,16.5,8,3,17,5.7,0,40,627,15.7,8,kalija-lipscomb-1
62,Ricky Smalling,Illinois,Big Ten,11,31,510,16.5,2,0,0,,0,31,510,16.5,2,ricky-smalling-1
63,Noah Fant,Iowa,Big Ten,12,30,494,16.5,11,2,-1,-0.5,0,32,493,15.4,11,noah-fant-1
64,Jon'Vea Johnson,Toledo,MAC,13,42,689,16.4,5,0,0,,0,42,689,16.4,5,jonvea-johnson-1
65,John Diarse,TCU,Big 12,13,35,575,16.4,3,0,0,,0,35,575,16.4,3,john-diarse-1
66,David Sills,West Virginia,Big 12,12,60,980,16.3,18,0,0,,0,60,980,16.3,18,david-sills-1
67,Jaylen Smith,Louisville,ACC,10,60,980,16.3,7,0,0,,0,60,980,16.3,7,jaylen-smith-1
68,Sergio Bailey,Eastern Michigan,MAC,12,54,878,16.3,9,2,25,12.5,0,56,903,16.1,9,sergio-bailey-1
69,Justin McInnis,Arkansas State,Sun Belt,12,49,800,16.3,4,1,3,3,0,50,803,16.1,4,justin-mcinnis-1
70,JJ Arcega-Whiteside,Stanford,Pac-12,11,48,781,16.3,9,0,0,,0,48,781,16.3,9,jj-arcega-whiteside-1
71,Stanley Morgan Jr.,Nebraska,Big Ten,11,61,986,16.2,10,1,2,2,0,62,988,15.9,10,stanley-morgan-jr-1
72,DaeSean Hamilton,Penn State,Big Ten,13,53,857,16.2,9,1,2,2,0,54,859,15.9,9,daesean-hamilton-1
73,Jamarius Way,South Alabama,Sun Belt,11,47,762,16.2,3,6,37,6.2,0,53,799,15.1,3,jamarius-way-1
