Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Geraud Sanders,Air Force,MWC,13,30,746,24.9,7,2,-36,-18,0,32,710,22.2,7,geraud-sanders-1
2,Simi Fehoko,Stanford,Pac-12,9,24,566,23.6,6,0,0,,0,24,566,23.6,6,simi-fehoko-1
3,CeeDee Lamb,Oklahoma,Big 12,13,62,1327,21.4,14,9,20,2.2,1,71,1347,19,15,ceedee-lamb-1
4,Ja'Marr Chase,LSU,SEC,14,84,1780,21.2,20,1,5,5,0,85,1785,21,20,jamarr-chase-1
5,Marquez Callaway,Tennessee,SEC,13,30,635,21.2,6,0,0,,0,30,635,21.2,6,marquez-callaway-1
6,Kendall Parham,UAB,CUSA,11,29,608,21,6,1,11,11,0,30,619,20.6,6,kendall-parham-1
7,Tarique Milton,Iowa State,Big 12,13,35,722,20.6,3,0,0,,0,35,722,20.6,3,tarique-milton-1
8,Rashod Bateman,Minnesota,Big Ten,13,60,1219,20.3,11,0,0,,0,60,1219,20.3,11,rashod-bateman-1
9,Dyami Brown,North Carolina,ACC,12,51,1034,20.3,12,1,2,2,0,52,1036,19.9,12,dyami-brown-1
10,Frank Darby,Arizona State,Pac-12,12,31,616,19.9,8,0,0,,0,31,616,19.9,8,frank-darby-1
11,Tamorrion Terry,Florida State,ACC,13,60,1188,19.8,9,4,9,2.3,0,64,1197,18.7,9,tamorrion-terry-1
12,Tee Higgins,Clemson,ACC,15,59,1167,19.8,13,1,36,36,1,60,1203,20.1,14,tee-higgins-1
13,Shane Hooks,Ohio,MAC,10,26,515,19.8,5,0,0,,0,26,515,19.8,5,shane-hooks-1
14,Nico Collins,Michigan,Big Ten,12,37,729,19.7,7,0,0,,0,37,729,19.7,7,nico-collins-1
15,Jyaire Shorter,North Texas,CUSA,12,24,473,19.7,9,0,0,,0,24,473,19.7,9,jyaire-shorter-1
16,Bryce Mitchell,Toledo,MAC,11,35,679,19.4,4,0,0,,0,35,679,19.4,4,bryce-mitchell-1
17,Austin Maloney,Florida International,CUSA,12,33,639,19.4,2,0,0,,0,33,639,19.4,2,austin-maloney-1
18,Antonio Gibson,Memphis,American,14,38,735,19.3,8,33,369,11.2,4,71,1104,15.5,12,antonio-gibson-2
19,Jalen Tolbert,South Alabama,Sun Belt,12,27,521,19.3,6,0,0,,0,27,521,19.3,6,jalen-tolbert-1
20,Austin Watkins,UAB,CUSA,14,57,1092,19.2,6,1,-1,-1,0,58,1091,18.8,6,austin-watkins-1
21,Josh Imatorbhebhe,Illinois,Big Ten,10,33,634,19.2,9,0,0,,0,33,634,19.2,9,josh-imatorbhebhe-1
22,Jordan Kress,New Mexico,MWC,10,28,530,18.9,6,0,0,,0,28,530,18.9,6,jordan-kress-1
